prod_pat_id,product_id,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag,submission_date
19771,PRODUCT_210491_001,10081621,2031-03-25 00:00:00,0,1,U-2571,0,2018-10-25 00:00:00
19772,PRODUCT_210491_001,9931334,2026-12-28 00:00:00,0,1,U-2575,0,2018-05-01 00:00:00
19773,PRODUCT_210491_001,9931334,2026-12-28 00:00:00,0,1,U-2275,0,2018-05-01 00:00:00
19774,PRODUCT_021880_002,8492406,2023-10-07 00:00:00,0,0,U-2550,0,2019-06-25 00:00:00
19775,PRODUCT_021880_005,9393238,2023-05-15 00:00:00,0,0,U-2550,0,2019-06-25 00:00:00
19776,PRODUCT_021880_006,9393238,2023-05-15 00:00:00,0,0,U-2550,0,2019-06-25 00:00:00
19777,PRODUCT_021880_006,8492406,2023-10-07 00:00:00,0,0,U-2550,0,2019-06-25 00:00:00
19778,PRODUCT_021880_006,9155730,2023-05-15 00:00:00,0,0,U-2550,0,2019-06-25 00:00:00
19779,PRODUCT_201688_001,10207066,2030-11-04 00:00:00,0,1,U-909,0,2019-06-17 00:00:00
19780,PRODUCT_206829_001,9724353,2032-09-07 00:00:00,0,0,U-2566,0,2019-07-01 00:00:00
19781,PRODUCT_209817_001,9365500,2021-06-29 00:00:00,0,0,U-2576,0,2019-07-23 00:00:00
19782,PRODUCT_211225_001,8377921,2027-11-20 00:00:00,0,0,U-1179,0,2019-08-02 00:00:00
19783,PRODUCT_210589_001,9629821,2025-07-11 00:00:00,0,1,U-2367,0,2018-08-27 00:00:00
19784,PRODUCT_211230_002,9604917,2026-06-07 00:00:00,0,0,U-2548,0,2019-06-24 00:00:00
19785,PRODUCT_209091_001,RE44186,2023-07-31 00:00:00,1,1,U-493,0,2017-03-22 00:00:00
19786,PRODUCT_208294_001,8324266,2030-05-28 00:00:00,0,0,U-2546,0,2016-05-20 00:00:00
19787,PRODUCT_207202_004,8545402,2030-04-27 00:00:00,0,1,,0,2017-12-12 00:00:00
19788,PRODUCT_208471_001,9440029,2032-01-30 00:00:00,0,1,,0,2016-12-29 00:00:00
19789,PRODUCT_209816_001,7326696,2023-09-24 00:00:00,1,0,,0,2019-07-23 00:00:00
19790,PRODUCT_021272_002,10076505,2024-12-16 00:00:00,0,1,,0,2018-10-01 00:00:00
19791,PRODUCT_202293_001,8721615,2030-01-18 00:00:00,0,1,,1,2017-11-15 00:00:00
19792,PRODUCT_209354_001,8809307,2031-11-02 00:00:00,0,1,,0,2019-04-30 00:00:00
19793,PRODUCT_210563_001,8957079,2026-12-28 00:00:00,1,1,,0,2018-03-06 00:00:00
