atc_code,ddd_units,ddd_admr,ddd_comment,ddd_id,ddd_value
R01AD06,mg,N,,1580,0.400000000000000000000000000000
R01AD07,mg,N,,1581,8.000000000000000000000000000000
R01AD08,mg,N,,1582,0.200000000000000000000000000000
R01AD09,mg,N,,1583,0.200000000000000000000000000000
R01AD11,mg,N,,1584,0.220000000000000000000000000000
R01AD12,mg,N,,1585,0.110000000000000000000000000000
R01AX02,U,N,,1586,800.000000000000000000000000000000
R01AX03,mg,N,,1587,0.240000000000000000000000000000
R01BA01,g,O,,1588,0.100000000000000000000000000000
R01BA02,g,O,,1589,0.240000000000000000000000000000
R01BA03,mg,O,,1590,40.000000000000000000000000000000
R01BA51,g,O,Refers to phenylpropanolamine,1591,0.100000000000000000000000000000
R01BA52,g,O,Refers to pseudoephedrine,1592,0.240000000000000000000000000000
R02AA01,mg,O,,1593,40.000000000000000000000000000000
R02AA02,mg,O,,1594,1.500000000000000000000000000000
R02AA05,mg,O,,1595,30.000000000000000000000000000000
R02AX01,mg,O,,1596,44.000000000000000000000000000000
R03AB03,mg,Inhal.aerosol,,1599,6.000000000000000000000000000000
R03AC05,mg,Inhal.aerosol,,1603,1.600000000000000000000000000000
R03AC06,mg,Inhal.aerosol,,1604,1.500000000000000000000000000000
R03AC08,mg,Inhal.aerosol,,1605,1.200000000000000000000000000000
R03AC11,mg,Inhal.aerosol,,1606,1.600000000000000000000000000000
R03AC16,mcg,Inhal.aerosol,,1609,60.000000000000000000000000000000
R03BA03,mg,Inhal.aerosol,,1612,1.000000000000000000000000000000
R03BA07,mg,Inhal.powder,,1614,0.400000000000000000000000000000
R03BA08,mg,Inhal.aerosol,,1615,0.160000000000000000000000000000
R03BC03,mg,Inhal.aerosol,,1620,8.000000000000000000000000000000
R03CB01,mg,O,,1622,40.000000000000000000000000000000
