id,city,distance,hotelNames,location,rate,reviewNumbers
18," Chelsea, New York","3.1 miles from center","Moxy NYC Chelsea"," Chelsea, New York", Excellent , 201 reviews
19," Lower East Side, New York","1.1 miles from center","citizenM New York Bowery"," Lower East Side, New York", Good ," 4,475 reviews "
20," Hell's Kitchen, New York","3.1 miles from center","Staypineapple, an Artful Hotel New York"," Hell's Kitchen, New York", Very Good ," 3,089 reviews "
21," Midtown East, New York","0.7 miles from center","Grand Hyatt New York"," Midtown East, New York", Good ," 3,916 reviews "
22," Greenwich Village, New York","3.1 miles from center","The Standard, High Line New York"," Greenwich Village, New York", Very Good , 97 reviews
23," Midtown East, New York","2,950 feet from center","The Belvedere Hotel"," Midtown East, New York", Very Good , 382 reviews
24," Hell's Kitchen, New York","3.1 miles from center","Midtown Convention Center Hotel NYC"," Hell's Kitchen, New York", Review score ," 3,694 reviews "
25," Hell's Kitchen, New York","1.1 miles from center","Hyatt House New York/Chelsea"," Hell's Kitchen, New York", Excellent ," 2,332 reviews "
26," Hudson Yards, New York","3.1 miles from center","Moxy NYC Chelsea"," Hudson Yards, New York", Excellent , 485 reviews
27," Chelsea, New York","1.6 miles from center","citizenM New York Bowery"," Chelsea, New York", Awesome ," 2,241 reviews "
28," Chelsea, New York","3.1 miles from center","Staypineapple, an Artful Hotel New York"," Chelsea, New York", Excellent , 201 reviews
29," Lower East Side, New York","1.6 miles from center","Grand Hyatt New York"," Lower East Side, New York", Good ," 4,475 reviews "
30," Hell's Kitchen, New York","3.1 miles from center","The Standard, High Line New York"," Hell's Kitchen, New York", Very Good ," 3,089 reviews "
31," Midtown East, New York","3.1 miles from center","The Roosevelt Hotel"," Midtown East, New York", Good ," 3,916 reviews "
32," Greenwich Village, New York","3.1 miles from center","La Quinta by Wyndham Manhattan Midtown"," Greenwich Village, New York", Very Good , 97 reviews
33," Midtown East, New York","1.1 miles from center","Radio City Apartments"," Midtown East, New York", Excellent ," 4,873 reviews "
34," Hell's Kitchen, New York","3.1 miles from center","Fairfield Inn & Suites by Marriott New York Downtown Manhattan/World Trade Center Area"," Hell's Kitchen, New York", Excellent ," 1,906 reviews "
35," Manhattan, New York","1.2 miles from center","Warwick New York"," Manhattan, New York", Very Good ," 4,597 reviews "
36," Wall Street - Financial District, New York","3.1 miles from center","The Watson Hotel"," Wall Street - Financial District, New York", Good ," 12,566 reviews "
37," Manhattan, New York","2.3 miles from center","Moxy NYC East Village"," Manhattan, New York", Excellent , 59 reviews
38," Hell's Kitchen, New York","3.1 miles from center","WeLive Wall Street"," Hell's Kitchen, New York", Awesome , 599 reviews
39," East Village, New York","1 miles from center","The Langham, New York, Fifth Avenue"," East Village, New York", Awesome ," 1,050 reviews "
40," Wall Street - Financial District, New York","3.1 miles from center","Omni Berkshire Place"," Wall Street - Financial District, New York", Excellent , 493 reviews
41," Manhattan, New York","1.1 miles from center","Duane Street Hotel Tribeca"," Manhattan, New York", Very Good , 397 reviews
42," Midtown East, New York","3.1 miles from center","The Roxy Hotel Tribeca"," Midtown East, New York", Excellent ," 1,168 reviews "
43," Tribeca, New York","3,100 feet from center","Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South"," Tribeca, New York", Excellent , 515 reviews
44," Tribeca, New York","3.1 miles from center","SpringHill Suites by Marriott New York Manhattan/Times Square South"," Tribeca, New York", Very Good , 623 reviews
45," Hell's Kitchen, New York","4.3 miles from center","Soho Grand Hotel"," Hell's Kitchen, New York", Excellent ," 1,344 reviews "
46," Hell's Kitchen, New York","1.1 miles from center","Archer Hotel New York"," Hell's Kitchen, New York", Awesome ," 1,432 reviews "
47," SoHo, New York","3.1 miles from center","New York Marriott Marquis"," SoHo, New York", Very Good ," 1,834 reviews "
48," NoMad, New York","0.7 miles from center","The Pearl Hotel"," NoMad, New York", Awesome , 972 reviews
49," NoMad, New York","3.1 miles from center","Sonder — 116 John"," NoMad, New York", Excellent , 13 reviews
50," Manhattan, New York","2,800 feet from center","Heritage Hotel New York City"," Manhattan, New York", Good ," 2,922 reviews "
51," Manhattan, New York","3.1 miles from center","The Manhattan Club"," Manhattan, New York", Very Good ," 1,385 reviews "
52," Manhattan, New York","4.3 miles from center","Vanderbilt YMCA"," Manhattan, New York", Good ," 6,053 reviews "
53," Wall Street - Financial District, New York","3.1 miles from center","Courtyard by Marriott New York Downtown Manhattan/World Trade Center Area"," Wall Street - Financial District, New York", Very Good ," 1,734 reviews "
54," Flatiron District, New York","1.8 miles from center","The New Yorker, A Wyndham Hotel"," Flatiron District, New York", Good ," 8,707 reviews "
55," Manhattan, New York","3.1 miles from center","Hotel Henri"," Manhattan, New York", Good , 247 reviews
56," Midtown East, New York","1,150 feet from center","Sofitel New York"," Midtown East, New York", Excellent ," 1,126 reviews "
