walsCode,isoCode,glottocode,Name,genus,family,macroarea,countrycodes
nze,nzm,zeme1240,Naga (Zeme),Kuki-Chin,Sino-Tibetan,Eurasia,IN
nzs,nzs,newz1236,New Zealand Sign Language,Sign Languages,other,Papunesia,NZ
obg,ogu,ogbr1243,Ogbronuagum,Cross River,Niger-Congo,Africa,NG
obk,afz,obok1239,Obokuitai,Lakes Plain,Lakes Plain,Papunesia,ID
obo,ann,obol1243,Obolo,Cross River,Niger-Congo,Africa,NG
oca,oca,ocai1244,Ocaina,Huitoto,Huitotoan,South America,PE
occ,oci,occi1239,Occitan,Romance,Indo-European,Eurasia,FR
ocu,ocu,atzi1235,Ocuilteco,Matlatzincan,Oto-Manguean,North America,MX
ogb,ogb,ogbi1239,Ogbia,Cross River,Niger-Congo,Africa,NG
oi,oyb,oyyy1238,Oi,Bahnaric,Austro-Asiatic,Eurasia,LA
oir,xal,kalm1243,Oirat,Mongolic,Altaic,Eurasia,CN MN
oix,otz,ixte1237,Otomí (Ixtenco),Otomian,Oto-Manguean,North America,MX
oji,otw,east2542,Ojibwa (Eastern),Algonquian,Algic,North America,CA
ojm,ciw,chip1241,Ojibwe (Minnesota),Algonquian,Algic,North America,US
ojs,ojs,seve1240,Ojibwa (Severn),Algonquian,Algic,North America,CA
oka,oka,okan1243,Okanagan,Interior Salish,Salishan,North America,CA US
oko,ort,adiv1239,Oriya (Kotia),Indic,Indo-European,Eurasia,IN
oks,opm,oksa1245,Oksapmin,Oksapmin,Oksapmin,Papunesia,PG
oku,oku,okuu1243,Oku,Bantoid,Niger-Congo,Africa,CM
olm,nij,ngaj1237,Oloh Mangtangai,Barito,Austronesian,Papunesia,ID
olo,ong,oloo1241,Olo,Wapei-Palei,Torricelli,Papunesia,PG
olu,plo,olut1240,Olutec,Mixe-Zoque,Mixe-Zoque,North America,MX
oma,omg,omag1248,Omagua,Tupi-Guaraní,Tupian,South America,PE
omh,oma,omah1247,Omaha,Core Siouan,Siouan,North America,US
omi,aom,omie1241,Ömie,Koiarian,Trans-New Guinea,Papunesia,PG
ond,one,onei1249,Oneida,Northern Iroquoian,Iroquoian,North America,US
one,aun,molm1235,One,West Wapei,Torricelli,Papunesia,PG
ong,oon,onge1236,Onge,South Andamanese,South Andamanese,Eurasia,IN
onn,ono,onon1246,Onondaga,Northern Iroquoian,Iroquoian,North America,US
ono,ons,onoo1246,Ono,Finisterre-Huon,Trans-New Guinea,Papunesia,PG
ood,ood,toho1245,O'odham,Tepiman,Uto-Aztecan,North America,US MX
ora,ema,emai1241,Emai,Edoid,Niger-Congo,Africa,NG
orb,gax,bora1271,Oromo (Boraana),Lowland East Cushitic,Afro-Asiatic,Africa,ET KE
orc,oac,oroc1248,Oroch,Tungusic,Altaic,Eurasia,RU
ord,mvf,peri1253,Ordos,Mongolic,Altaic,Eurasia,CN
ore,ore,orej1242,Orejón,Tucanoan,Tucanoan,South America,PE
orh,hae,east2652,Oromo (Harar),Lowland East Cushitic,Afro-Asiatic,Africa,ET
ori,ras,tega1236,Orig,Rashad,Kordofanian,Africa,SD
ork,oaa,orok1265,Orok,Tungusic,Altaic,Eurasia,RU
orl,oro,orok1267,Orokolo,Eleman Proper,Eleman,Papunesia,PG
orm,oru,ormu1247,Ormuri,Iranian,Indo-European,Eurasia,PK
oro,okv,orok1269,Orokaiva,Binanderean,Trans-New Guinea,Papunesia,PG
orw,ssn,waat1238,Oromo (Waata),Lowland East Cushitic,Afro-Asiatic,Africa,KE
ory,ury,orya1242,Orya,Orya,Tor-Orya,Papunesia,ID
osa,osa,osag1243,Osage,Core Siouan,Siouan,North America,US
osm,otq,quer1236,Otomí (Santiago Mexquititlan),Otomian,Oto-Manguean,North America,MX
oss,oss,osse1243,Ossetic,Iranian,Indo-European,Eurasia,GE RU
otm,ote,mezq1235,Otomí (Mezquital),Otomian,Oto-Manguean,North America,MX
oto,iow,iowa1245,Oto,Core Siouan,Siouan,North America,US
otr,otr,otor1240,Otoro,Heiban,Kordofanian,Africa,SD
ots,otm,east2556,Otomí (Sierra),Otomian,Oto-Manguean,North America,MX
