ID;SUBSYSTEM;CODE;COVWATERHYDRANTUNITTYPE;DISTANCEFROMCORNER;FEEDERLEN;DIR;LINE;COLOR;INCOMM;CHR0;CHR1;STREET_NUMBER;STREET;OLDHYDNUM;CASTSUB;OOCDATE;OOCNOTES;INSTDATE1;ORACLEID;ACTIVE;REMARKS;FIREUSEONLY;STATUS;COMPRESSION;ADDDTTM;ADDBY;MODBY;FEATURE_ID;UNITID;Geom;Geo Local Area
WH-S09-024;DSTR;TC;TC1;0.9;1.0;N-NORTH;N-NORTH;Blue;Yes;;;;NEC E PENDER ST & MCLEAN DRIVE;10B28;COVAV;;;1999-01-01;__FJ8T02;Active;;N;IN_SERVICE;No;2009-11-10T10:46:27+01:00;covDBimport;SDE 834766;32142;32142;"{""type"": ""Point"", ""coordinates"": [-123.0739604107251, 49.28040556950835]}";Grandview-Woodland
WH-S09-025;DSTR;Clow;BrigadierM;1.8;0.6;N-NORTH;N-NORTH;Blue;Yes;;;;NWC MCLEAN DRIVE & FRANCES ST;19A01;COVAV;2013-06-10;ooc until further notice - may require replacement;2006-05-30;__FJ8T01;Active;;N;IN_SERVICE;Yes;2009-11-10T10:13:00+01:00;covDBimport;SDE 834766;27915;27915;"{""type"": ""Point"", ""coordinates"": [-123.07423215970014, 49.27953151359066]}";Grandview-Woodland
WH-S09-027;DSTR;TC;TC1;1.5;2.0;N-NORTH;N-NORTH;Blue;Yes;;;;NWC MCLEAN DRIVE & ADANAC ST;19A11;COVAV;;;;__FJ8T04;Active;;N;IN_SERVICE;No;2009-11-10T10:28:01+01:00;covDBimport;SDE 834766;28914;28914;"{""type"": ""Point"", ""coordinates"": [-123.07431805707455, 49.277715340262496]}";Grandview-Woodland
WH-S10-002;DSTR;TC;TC1;4.0;2.4;E-EAST;E-EAST;Yellow;Yes;;;;SEC NAPIER ST & CLARK DRIVE;20C32;COVAV;;;;__FJ8V3C;Active;;N;IN_SERVICE;No;2009-11-10T10:12:01+01:00;covDBimport;SDE 834766;27972;27972;"{""type"": ""Point"", ""coordinates"": [-123.07703375324377, 49.274865218354726]}";Grandview-Woodland
WH-S10-005;DSTR;TC;TC1;8.5;0.9;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC ODLUM DRIVE & CHARLES ST;19B16;COVAV;;;1973-01-01;__FJ8V3J;Active;;Y;IN_SERVICE;No;2009-11-10T10:33:03+01:00;covDBimport;SDE 834766;31993;31993;"{""type"": ""Point"", ""coordinates"": [-123.0760306093083, 49.27295217436296]}";Grandview-Woodland
WH-S10-008;DSTR;TC;TC1;4.3;1.5;E-EAST;E-EAST;Blue;Yes;;;;SEC NAPIER ST & ODLUM DRIVE;19A31;COVAV;;;1959-01-01;__FJ8V3G;Active;;N;IN_SERVICE;No;2009-11-10T10:39:00+01:00;covDBimport;SDE 834766;33146;33146;"{""type"": ""Point"", ""coordinates"": [-123.07567679001798, 49.27484364507369]}";Grandview-Woodland
WH-S10-011;DSTR;TC;TC1;3.0;1.8;W-WEST;W-WEST;Blue;Yes;;;;SWC NAPIER ST & MCLEAN DRIVE;19A30;COVAV;;;1974-01-01;__FJFK40;Active;;N;IN_SERVICE;No;2009-11-10T10:43:00+01:00;covDBimport;SDE 834766;33064;33064;"{""type"": ""Point"", ""coordinates"": [-123.07463395982184, 49.27482858178093]}";Grandview-Woodland
WH-S10-016;DSTR;TC;TC1;2.7;0.6;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC WOODLAND DRIVE & KITCHENER ST;19B19;COVAV;;;1976-01-01;__FJ8SZQ;Active;;N;IN_SERVICE;No;2009-11-10T10:39:05+01:00;covDBimport;SDE 834766;29780;29780;"{""type"": ""Point"", ""coordinates"": [-123.0735581111888, 49.272051125419566]}";Grandview-Woodland
WH-S10-022;DSTR;TC;TC1;1.5;2.0;E-EAST;E-EAST;Blue;Yes;;;;SWC COTTON DRIVE & KITCHENER ST;19B20;COVAV;;;2003-01-01;__FJ8TBM;Active;;N;IN_SERVICE;No;2009-11-10T10:30:24+01:00;covDBimport;SDE 834766;29124;29124;"{""type"": ""Point"", ""coordinates"": [-123.07161254634768, 49.272043001607955]}";Grandview-Woodland
WH-S10-030;DSTR;Mueller;CENTURION;2.4;3.0;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC SALSBURY DRIVE & CHARLES ST;19B09;COVAV;;;2000-01-01;__FJD6QM;Active;;N;IN_SERVICE;Yes;2009-11-10T10:42:26+01:00;covDBimport;SDE 834766;33284;33284;"{""type"": ""Point"", ""coordinates"": [-123.06774262740447, 49.2729081899586]}";Grandview-Woodland
WH-S10-902;DSTR;;;0.0;0.0;;;;Yes;;;;Vancouver School District;;;;;1970-01-01;__FJ8SZX;Active;"<P>Private</P>
<P>Nov 4, 2011 - we are not maintaining school district hydrants at this time - Dawn</P>";Y;IN_SERVICE;No;2010-12-01T11:29:00+01:00;ENJAK;ENYADC;4126966;4126966;"{""type"": ""Point"", ""coordinates"": [-123.07350925340455, 49.274770384294676]}";Grandview-Woodland
WH-S11-002;DSTR;TC;TC1;2.1;3.0;E-EAST;E-EAST;Blue;Yes;;;;SEC GRAVELEY ST & CLARK DRIVE;20D17;COVAV;;;1994-01-01;__FJ8V33;Active;;N;IN_SERVICE;No;2009-11-10T10:39:08+01:00;covDBimport;SDE 834766;29793;29793;"{""type"": ""Point"", ""coordinates"": [-123.07713652537407, 49.270488278890035]}";Grandview-Woodland
