Breed;Color;Date;DateCreated;Name;Sex;State
Chi;Black;1999-08-06;2005-06-21;Zulu;M/N;Lost
Keeshound;Grey & Black;1999-08-06;2005-06-21;Sasha;F/S;Matched
English Setter Pointer;White with Black Spots;1999-08-06;2005-06-21;Joey;M/N;Matched
Lab;Chocolate;1999-08-06;2005-06-21;Nula;F/S;Lost
Golden Retriever;Gold & Red;1999-08-06;2005-06-21;;M/N;Found
Chihuahua;Black w White Chest;1999-08-08;2005-06-21;Zulu;M/N;Lost
Welsh Terrier;Grey & Black & Tan Face;1999-08-10;2005-06-21;Arliff;M/N;Matched
Pug;Beige;1999-08-13;2005-06-21;;F;Found
Pitbull X;Red;1999-08-15;2005-06-21;Justice;F;Lost
Husky X Malamute;White & Grey & Black;1999-08-16;2005-06-21;Titus;M/N;Lost
Shepherd X;Black & Tan;1999-08-16;2005-06-21;Casey;F/S;Matched
Lab X Shep;Black;1999-08-17;2005-06-21;Sonic;M;Lost
Chi X Russel;Black & White;1999-08-17;2005-06-21;Tex;M;Matched
Shep;Sable;1999-08-19;2005-06-21;Sherlock;M/N;Lost
Shih Tzu X;White & Black;1999-08-19;2005-06-21;?????;F;Found
German Shepherd;Black;1999-08-20;2005-06-21;Jake;M;Lost
Poodle X;Blonde;1999-08-21;2005-06-21;Charly;M;Matched
Golden Retriever;Gold;1999-08-21;2005-06-21;Brutus;M;Lost
Shep X;Fawn & Black;1999-08-22;2005-06-21;Saba;M;Lost
Pitbull X;Brindle;1999-08-24;2005-06-21;Paige;F;Lost
Golden Retriever;Golden;1999-08-24;2005-06-21;Brutus;M/N;Lost
Lab X;White;1999-08-26;2005-06-21;Daisy;F;Matched
Terrier X;Black & White;1999-08-26;2005-06-21;;F/S;Matched
Terrier X;Black & White;1999-08-27;2005-06-21;Cara;F/S;Matched
Bichon Frise;White;1999-08-27;2005-06-21;Crosby;M;Lost
Shiba Inu;Brown;1999-08-27;2005-06-21;Yingo;M;Lost
Shep X Lab;Tan;1999-08-27;2005-06-21;Baily;M;Matched
Springer Spaniel;White & Liver;1999-08-27;2005-06-21;Codie;M/N;Matched
Golden Lab X Sheperd;Golden with Black Muzzle;1999-08-27;2005-06-21;Bailey;M/N;Matched
Toy Pom;Black & Beige;1999-08-27;2005-06-21;Cheeko;M;Matched
Sheltie;Tri Coloured;1999-08-29;2005-06-21;Chip;M/N;Matched
Pitbull X Shep;Tan & White;1999-08-29;2005-06-21;Texas;F;Lost
Golden Retriever;Gold;1999-08-30;2005-06-21;Bailey;M/N;Matched
Shepherd;Black & Tan;1999-08-30;2005-06-21;Shakur;M;Matched
Lab;Golden;1999-09-05;2005-06-21;Beanies;F/S;Matched
American Red Nose Pit;Beige & White;1999-09-07;2005-06-21;Taz;M;Lost
Poodle X Sheltie;Black;1999-09-07;2005-06-21;Tyler;M/N;Found
Shep X Lab;Black & Tan & White;1999-09-09;2005-06-21;;M;Found
Spaniel X Terrier;Black;1999-09-10;2005-06-21;;M;Found
Dacshund;Black & Brown;1999-08-15;2005-06-21;Shrimpy;F/S;Lost
Rottweiler;Black & Tan;1999-09-10;2005-06-21;Rufis;M/N;Lost
Cockapoo;Black & White;1999-09-11;2005-06-21;Snuggles;F/S;Lost
Rottweiller;Black & Tan;1999-09-12;2005-06-21;Scully;F/S;Matched
Boxer;Brindle;1999-09-13;2005-06-21;Gucci;F/S;Matched
Samoyed;White;1999-09-14;2005-06-21;;F;Matched
Lab  X;Golden;1999-09-14;2005-06-21;;M;Found
Maltipoo;Cream;1999-09-18;2005-06-21;Belu;F/S;Lost
Mini Poodle;Grey;1999-09-19;2005-06-21;Bijou;F/S;Matched
Long haired Dachshund;Black & Tan;1999-09-20;2005-06-21;Mocha;F/S;Matched
Eskimo Dog;White;1999-09-20;2005-06-21;;M;Found
Lab X Great Dane;Black & White;1999-09-21;2005-06-21;Kiitos;M;Lost
Keeshound;Grey;1999-09-21;2005-06-21;Xena;F/S;Lost
Lab X;Black & White;1999-09-21;2005-06-21;Blacky;M;Matched
Retriever;Golden;1999-09-23;2005-06-21;HoneyBear;M/N;Lost
Afgan Hound;Black & Cream;1999-09-24;2005-06-21;Maggie;F;Lost
Shep X Heeler;Black & Tan;1999-09-24;2005-06-21;Buddy;M/N;Matched
American Eskimo;White;1999-09-25;2005-06-21;;F;Lost
Samoyed;White;1999-09-27;2005-06-21;Lexi;F/S;Matched
Poodle (Miniature);Apricot & Beige;1999-09-27;2005-06-21;Gracy;F/S;Lost
Teacup Poodle;Black;1999-09-27;2005-06-21;Tasha;F/S;Lost
Jack Russel terrier;Black & White;1999-09-29;2005-06-21;Tango;M/N;Matched
Golden Retriever;Golden;1999-09-29;2005-06-21;Jellybean;M/N;Matched
Pomeranian;Reddish Gold;1999-10-01;2005-06-21;FiFi;F;Lost
Lab X;Brindle;1999-10-01;2005-06-21;Mozy;F/S;Matched
Shep X Chow;Black;1999-10-02;2005-06-21;;M;Matched
German Shepherd;Tan & Black (dark face);1999-10-02;2005-06-21;Sasha;F;Matched
Pitbull;Brindle;1999-10-02;2005-06-21;;F;Found
Akita;Brown & Black;1999-10-02;2005-06-21;Tayla;F/S;Lost
Lab X Shep;Black;1999-10-02;2005-06-21;Neegee;M/N;Matched
Yorkshire Terrier;Tan & Grey;1999-10-04;2005-06-21;;M;Found
Chocolate lab;Brown;1999-10-05;2005-06-21;;M/N;Matched
Chi X Terr;Tan & White;1999-10-08;2005-06-21;;F;Found
Shep X;Black & Tan;1999-10-08;2005-06-21;;M;Matched
Lab X Shep;Black;1999-10-10;2005-06-21;;M;Lost
Akita X;White;1999-10-10;2005-06-21;;M;Matched
German Shepherd;Black;1999-10-12;2005-06-21;Simba;M/N;Lost
Staff Terr;Tan;1999-10-15;2005-06-21;Dakota;F;Matched
Maltese;White;1999-10-14;2005-06-21;Ziggy;M/N;Lost
Shep X Mala;Black & Tan;1999-10-15;2005-06-21;Evan;M/N;Matched
Germ Short H Pointer;Liver & White;1999-10-14;2005-06-21;Roxy;F;Lost
Lab X Shep;Grey & Brown;1999-10-15;2005-06-21;Bear;M;Matched
Shep X;Tan;1999-10-15;2005-06-21;Budda;F;Lost
Lab X;Golden;1999-10-16;2005-06-21;;F;Found
Shep;Black & Tan Grey around mouth;1999-10-15;2005-06-21;Buddha;;Lost
Rott X Shep;Black & Brown;1999-10-17;2005-06-21;;;Matched
Rott X Shep;Black & Brown;1999-10-17;2005-06-21;Elmo;F;Matched
Malanoise X Lab;Beige & Black;1999-10-18;2005-06-21;Suzie;F/S;Matched
Shep  X;Black & Tan;1999-10-18;2005-06-21;scar;M/N;Lost
Cocker Span. X Poodle;Black;1999-10-19;2005-06-21;;M;Found
Border Collie;Black & White;1999-10-19;2005-06-21;Pippi;F/S;Lost
Shep X;Black;1999-10-20;2005-06-21;Chewie;M/N;Matched
Dalmation;Black & White;1999-10-21;2005-06-21;Tyson;M;Lost
Sharpei;Tan;1999-10-21;2005-06-21;Toto;M;Lost
Small dog;White & Tan;1999-10-21;2005-06-21;;M/N;Found
Shibu Inu;Golden;1999-10-22;2005-06-21;Gigi;F;Lost
Maltese X;Grey;1999-10-22;2005-06-21;Victoria Bear;;Lost
Lab X;Black w White Toes & Chest;1999-10-27;2005-06-21;Taco?;F;Matched
Shep X;Black & Tan;1999-10-27;2005-06-21;Rosco;M;Lost
Shephard X;Black w.White on Chest;1999-10-27;2005-06-21;Chico;M;Lost
Heeler X Husky X Wolf;Grey & White & Black;1999-10-28;2005-06-21;Timber;M/N;Lost
Lab;White & Gold;1999-10-30;2005-06-21;Keily;F;Lost
Doby X;Black & Tan;1999-10-30;2005-06-21;;M/N;Matched
Shep;Black & Tan;1999-10-24;2005-06-21;;F;Matched
Lab X;Cream;1999-11-01;2005-06-21;;F;Found
Lab X Chow;Black;1999-11-03;2005-06-21;Max;M/N;Found
Shep X  Collie;Black & Brown & White;1999-11-04;2005-06-21;Faith;F;Lost
Shih X Malt;Cream;1999-11-07;2005-06-21;Lisa;F;Matched
Boxer X Mastiff (Pup);White & Brown Spots;1999-11-06;2005-06-21;;M;Lost
Shepherd;Tan & Black;1999-11-02;2005-06-21;Indy;F;Lost
Husky X;Black & White;1999-11-13;2005-06-21;;F;Lost
Lab X Shep;Black;1999-11-15;2005-06-21;Angus;M/N;Lost
Rott X Lab;Black & Brown;1999-11-16;2005-06-21;Bear;M/N;Lost
Retriever;Gold;1999-11-17;2005-06-21;;M;Matched
Husky;White & Brown;1999-11-19;2005-06-21;Miraya;F/S;Found
Chow;Red;1999-11-19;2005-06-21;Jasmine;F/S;Lost
Husky X;White & Grey;1999-11-20;2005-06-21;Nanook;F/S;Matched
Shepherd;Black & Tan;1999-11-20;2005-06-21;;M;Matched
Cairn Terrier;Blonde & Tan;1999-11-20;2005-06-21;McDuff;M/N;Lost
Labrador;Black;1999-11-21;2005-06-21;Diago;;Found
Retreiver;Gold;1999-11-22;2005-06-21;Brutis;M;Lost
Siberian Husky;Rust & White;1999-11-23;2005-06-21;Midnight;F/S;Matched
Lhasa Apso X;Brown;1999-11-23;2005-06-21;Sogo;M;Matched
Ret X Collie;Black with White tip on tail;1999-11-23;2005-06-21;Rocky;M/N;Matched
Husky X Wolf;Dirty White & Grey;1999-11-24;2005-06-21;Chubby;F;Lost
Shep X;Black & Tan;1999-11-25;2005-06-21;Fifi;F;Lost
Shep X Lab;Black & Tan & Grey;1999-11-25;2005-06-21;Bear;M;Lost
Maltese;White;1999-11-29;2005-06-21;Skeeter;F;Matched
Lab;Yellow;1999-11-29;2005-06-21;Spinner;M/N;Lost
Springer Spaniel;Brown & White;1999-11-30;2005-06-21;Max;M/N;Lost
Shep X Husky;Black & Tan;1999-11-30;2005-06-21;Bailey;F;Lost
Sheltie;Tri-Colour;1999-12-01;2005-06-21;Romeo;M/N;Lost
Beagle X;Brown & Black;1999-12-03;2005-06-21;Pia;F/S;Matched
Shep X American Bulldog;Brown;1999-12-02;2005-06-21;;F/S;Lost
Labradoodle;White;2013-03-25;2013-03-25;Playa;F;Matched
Bichon Frise;White;2013-04-01;2013-04-02;Lucy;F/S;Lost
Long hair chihuahua;Tan with white;2013-03-22;2013-04-02;Cici;F;Lost
Shepherd;Brown;2013-04-03;2013-04-03;Jedi;M;Lost
Labrador;Brown;2013-04-04;2013-04-05;Nkosi;M/N;Lost
Maine Coon Cat;Grey;2013-04-04;2013-04-05;?;M;Lost
Turtle;?;2013-03-22;2013-04-05;?;;Lost
Yorkshire Terrier;Brown;2013-04-06;2013-04-06;Yoda;M;Lost
Brittany Spaniel;White & red marking;2013-04-09;2013-04-09;Ruby;F/S;Matched
Husky;Biscuit Colour;2013-04-10;2013-04-10;Anuq;F/S;Matched
Wheaten Terrier;Grey;2013-04-13;2013-04-13;Sophie;F/S;Lost
French Bulldog;White;2013-04-16;2013-04-16;Kitty;F/S;Lost
Pug;Brown;2013-04-18;2013-04-18;Oinks;M;Matched
Labrador;Tan;2013-04-21;2013-04-23;Biggs;M;Lost
Terrier X;;2013-04-23;2013-04-24;Squiggles;X;Matched
Labrador;Yellow;2013-04-25;2013-04-25;Lexi;F;Lost
Rottweiler;Black;2013-04-28;2013-04-28;Yoda;M;Matched
Pug;Brindle;2013-04-29;2013-04-29;Chewie  (Name might be Chilli);M/N;Matched
Chihuahua;Brown;2013-05-01;2013-05-01;Coolio;M;Lost
Chihuahua;Yellow;2013-04-30;2013-05-01;Cool;M;Lost
DLH;Red;2013-04-30;2013-05-01;?;M/N;Lost
Pomeranian;Golden;2013-05-03;2013-05-03;Gucci;M;Lost
Boxer X;Black/White;2013-05-04;2013-05-04;Odie;F;Matched
Tabby;Black w/White Chest;2013-05-05;2013-05-06;Bono;M/N;Matched
DSH;Grey;2013-05-06;2013-05-07;Whiskers;F/S;Lost
Germ. Shepherd;Black;2013-05-08;2013-05-08;Kaia;;Lost
Pomeranian;Grey;2013-05-08;2013-05-08;Thor;M;Lost
Germ. Shepherd;Black;2013-05-08;2013-05-08;Kaia;F;Lost
