Breed;Color;Date;DateCreated;Name;Sex;State
Border Collie;Black & White;1999-04-29;2005-06-21;Mitzi;F;Matched
Chow (2 dogs same);Brown;1999-04-30;2005-06-21;;M;Matched
Greyhound;Brown & White;1999-04-30;2005-06-21;;M;Matched
Corgi X Shep X Bassett;Black & Tan;1999-05-02;2005-06-21;;M;Matched
Irish Terrier;Rusty Red;1999-05-02;2005-06-21;Rusty;M/N;Lost
Labx;Black & White chest;1999-05-02;2005-06-21;;M/N;Found
Golden Retreiver;Gold;1999-05-03;2005-06-21;Rupert;M/N;Lost
Husky X;Black & Tan & White;1999-05-05;2005-06-21;Winter;M/N;Lost
Chi X Poodle;Tan & White;1999-05-07;2005-06-21;Shadow;M;Matched
Boxer;Red Brindle;1999-05-08;2005-06-21;Tarzan;M;Matched
Shep X Rott;Black & Tan;1999-05-08;2005-06-21;Dash;M;Lost
Shepherd  X;Black & Tan;1999-05-08;2005-06-21;;F;Found
Amer. Retriever;Red;1999-05-10;2005-06-21;Molly;F;Lost
Pitbull & Chihuahua;Brown;1999-05-11;2005-06-21;;F;Lost
Alaskan Husky;Black;1999-05-13;2005-06-21;Jordon;M;Matched
Retriever - 15 yrs old;Red;1999-05-13;2005-06-21;;F;Lost
Brussels Griffon;Brown;1999-05-14;2005-06-21;Scamp;M;Matched
Lhasa X Shih;White & Grey;1999-05-15;2005-06-21;;M;Found
Lab;Brown;1999-05-16;2005-06-21;Angus;M;Matched
Shep X Husky;Blonde;1999-05-18;2005-06-21;Sandi;F/S;Matched
German Shepherd;Black & Tan;1999-05-20;2005-06-21;Wang;M;Matched
Jack Russell Terrier;Tan & White;1999-05-26;2005-06-21;Pipsqeak;F;Lost
Bouvier;Black;1999-05-26;2005-06-21;Christy;F;Matched
Rott - Chow X;Tan & Rust;1999-05-27;2005-06-21;Meg;F;Lost
Rotty X;Black & Brown;1999-05-29;2005-06-21;Biko;F;Lost
Shepherd;Black & Tan;1999-06-02;2005-06-21;Duky;M;Lost
Collie X;Tri Colour;1999-06-03;2005-06-21;Charley;M;Lost
Lab X Pointer;Black & White;1999-06-03;2005-06-21;Kai;M/N;Matched
Shep X;Black & Tan;1999-06-04;2005-06-21;;F;Found
Lab X;Black;1999-06-04;2005-06-21;;F/S;Matched
Yorkie Terrier;Black & Gold;1999-06-06;2005-06-21;Pookie;M;Lost
Rotty (Puppy);Black & Tan;1999-06-08;2005-06-21;Happy;M;Lost
Sheltie;White & Sable;1999-06-09;2005-06-21;Spanky;M;Lost
Retriever X;Red;1999-06-09;2005-06-21;;M;Lost
Golden Retriever;Reddish Blonde;1999-06-09;2005-06-21;On On;M/N;Matched
Border Collie;Black & White;1999-06-09;2005-06-21;Mime;F/S;Lost
Rottweiler;Black & Tan;1999-06-09;2005-06-21;Rex;M;Lost
Shep X Rotty;Black & Tan;1999-06-10;2005-06-21;;M;Found
Pekingese;White with Brown spots;1999-06-11;2005-06-21;Sylvie;F/S;Lost
JR Terrier;White & Black;1999-06-12;2005-06-21;Tango;M/N;Matched
Maltipoo X;Black;1999-06-14;2005-06-21;Chief;M;Lost
Pekingnese;White;1999-06-16;2005-06-21;Goldie;F;Lost
Shih Tzu;Tri Color &  Brown & White;1999-06-16;2005-06-21;Piko;M;Lost
Collie X Shep;Black & Tan;1999-06-17;2005-06-21;Lupa;F;Lost
Lab X Rotty;Black;1999-06-22;2005-06-21;Bear;M/N;Lost
Pitbull;Brindle & White;1999-06-22;2005-06-21;Cali;F;Lost
Shih Tzu;Black & White;1999-06-22;2005-06-21;;F;Lost
Pitbull;Black & White Chest;1999-06-22;2005-06-21;Tyson;M;Lost
Spaniel;Black;1999-06-25;2005-06-21;;M;Found
Shepherd X;Black & Tan & White;1999-06-25;2005-06-21;Cheema;F/S;Matched
Flat Coated Retriever;Black;1999-06-26;2005-06-21;Raven;F/S;Matched
Husky X Wolf;Blonde;1999-06-27;2005-06-21;Nikita;F;Matched
Cocker X Poodle;Gold;1999-06-26;2005-06-21;;M;Matched
Terr?;White;1999-06-27;2005-06-21;;;Found
Maltese;White;1999-06-28;2005-06-21;;M;Found
Shih Tzu ?;Tan;1999-06-28;2005-06-21;;F;Found
Husky X puppy;Cream  & Rust;1999-06-28;2005-06-21;;M;Matched
Lhasa Apso;Tan & Cream;1999-06-28;2005-06-21;ZsaZsa;F/S;Matched
Lab X Rotty;Red;1999-06-29;2005-06-21;Tray;M;Matched
Britany Spaniel;White & Red;1999-06-29;2005-06-21;Duke;M/N;Matched
Rottweiler X;Black & Tan;1999-06-29;2005-06-21;Tiny;;Lost
Lab X Shep ?;Black & Brown;1999-06-29;2005-06-21;;F;Matched
Pitbull X;Black & White;1999-07-01;2005-06-21;;M;Found
Lab X;Black;1999-07-02;2005-06-21;Shadow;F;Lost
Cocker Spaniel;Blonde;1999-07-02;2005-06-21;Sammy;M;Lost
Doberman;Black & Tan;1999-07-03;2005-06-21;Brody;M/N;Lost
Long Haired Dacshund;Red;1999-07-04;2005-06-21;Sasha;F/S;Matched
Malt X Pom;Tan & White;1999-07-04;2005-06-21;Snuffy;M/N;Lost
Small dog;Black;1999-07-04;2005-06-21;Riley;F;Matched
Lab X Retriever;Golden;1999-07-04;2005-06-21;Athena;F/S;Lost
Mailese X;White;1999-07-04;2005-06-21;;M;Found
Chow;Red;1999-07-05;2005-06-21;Jasmine;F/S;Matched
Cocker Spaniel;Black;1999-07-05;2005-06-21;Toby;F/S;Lost
Rottweiler (long tail);Black & Tan;1999-07-05;2005-06-21;Disco;M;Matched
Chow X;Red;1999-07-06;2005-06-21;Jasmine;F;Matched
Lab X Collie;Black & White;1999-07-08;2005-06-21;Winston;M;Lost
Border Collie;Black;1999-07-10;2005-06-21;Coco;F/S;Lost
Pom;Orange & Brown;1999-07-10;2005-06-21;Cherry;F;Lost
Border Collie;Black;1999-07-11;2005-06-21;Jen;F;Matched
Rottweiler;Black & Tan;1999-07-11;2005-06-21;Dag;M;Lost
Border Collie X;Black & Tan;1999-07-12;2005-06-21;Chelsea;F/S;Lost
Husky X;Brown & White;1999-07-12;2005-06-21;;F;Found
Border Collie;Black & White;1999-07-13;2005-06-21;Coco;F/S;Lost
Bichon Frise;White;1999-07-13;2005-06-21;;F;Found
Sheltie;Tri;1999-07-17;2005-06-21;Haita;M/N;Lost
Maltese Poodle;Tan;1999-07-16;2005-06-21;Scruffy;M;Lost
Husky X Shep;Gold & Black;1999-07-17;2005-06-21;Kynoch;M/N;Matched
Shih Tzu;Black & White;1999-07-18;2005-06-21;Portia;F/S;Matched
Lhasa X Terrier;Sandy (Beige - Lt Brn);1999-07-18;2005-06-21;Suzie;F;Lost
Pom;Redish & Brown & Beige;1999-07-20;2005-06-21;;M;Lost
Pom X;Blonde;1999-07-20;2005-06-21;Roo;M/N;Matched
Terrier X Spaniel X Sheltie X?;Tan;1999-07-20;2005-06-21;;M;Lost
German Shepherd (PB);Black & Tan;1999-07-20;2005-06-21;De De;M;Lost
Shep X Coyote;Tan & Black;1999-07-20;2005-06-21;;F;Found
Pit X;Black & White;1999-07-26;2005-06-21;;F;Found
Newfie X Lab;Black;1999-07-27;2005-06-21;Fred;M;Matched
Pomeranian X;Brindle with White Snout;1999-07-27;2005-06-21;Dingo;F/S;Lost
Pomeranian;Sable & White Tail;1999-07-28;2005-06-21;;M;Found
Red Nose Pitbull;Brown;1999-07-31;2005-06-21;;M/N;Matched
Carin Terrier;Brown;1999-07-30;2005-06-21;Toto;M/N;Lost
Fox Terrier;Black &  White;1999-07-31;2005-06-21;Shany;F/S;Lost
Lhasa Apso;White & Black;1999-08-03;2005-06-21;;F;Lost
Lab X;Black & White;1999-08-03;2005-06-21;;M/N;Matched
Shih Tzu;Black & White;1999-08-03;2005-06-21;Archie;M;Matched
Shih Tzu;Black &  White;1999-08-03;2005-06-21;Archie;M;Matched
Shepherd  X;Tan & Black & Grey;1999-08-04;2005-06-21;Zena;F/S;Lost
Burnese Mnt Dog;Black & Brown;1999-08-03;2005-06-21;;M;Matched
Border Collie;Brown & White;1999-08-04;2005-06-21;Coco;M/N;Matched
Airedale;Brownish;1999-08-04;2005-06-21;;M/N;Matched
Long hair Chihuahua;Tan & Black mask;1999-08-05;2005-06-21;Little Bit;M;Lost
Rottweiler;Black & Tan;1999-08-05;2005-06-21;Kiwi;F/S;Lost
Shih Tzu;White;1999-08-05;2005-06-21;;M;Found
Shep X Husky;Black & Tan;1999-08-06;2005-06-21;Homer;M/N;Lost
Rottweiler;Black & Tan;1999-08-06;2005-06-21;Kilo;M;Lost
Australian Kelpie;Brown;1999-08-07;2005-06-21;Cody;M;Matched
Min Pin;Red;1999-08-08;2005-06-21;Thunder;M;Matched
Collie;Sable & White & some black;1999-08-09;2005-06-21;Teddy;M;Lost
Maltese;White;1999-08-09;2005-06-21;;M;Lost
Shiba Inu;Golden Red;1999-08-10;2005-06-21;Gigi;F;Matched
Min Amer Eskimo Dog;White;1999-08-12;2005-06-21;Fender;F/S;Matched
Pitbull X;White with Brown patches;1999-08-15;2005-06-21;Grumpy;M;Lost
Rott Hound X;Black & Tan;1999-08-16;2005-06-21;Disco;M;Lost
Rottweiller;Black & Tan;1999-08-16;2005-06-21;Timber;F;Lost
Pom X Terrier;Brown;1999-08-17;2005-06-21;Coco;F/S;Lost
Terrier X;Dark Brown;1999-08-19;2005-06-21;Snoopy;F;Lost
Poodle X;Grey;1999-08-20;2005-06-21;;F;Found
Mutt (Corgie?);Tan & White;1999-08-21;2005-06-21;;M;Found
??? Shep X ???;Black & Tan;1999-08-22;2005-06-21;;F;Found
Poodle X Cairn Terrier;Golden Brown;1999-08-24;2005-06-21;Yoby;M;Matched
Shep X;Black & Tan;1999-08-27;2005-06-21;;M;Matched
Shiih Tzu;White & Black;1999-08-26;2005-06-21;Bibi;F;Lost
Border Collie X;Black & White;1999-08-29;2005-06-21;;M;Found
Lhasa X Terrier;White;1999-08-31;2005-06-21;Bubba;M;Matched
Golden Retriever;Blonde;1999-09-01;2005-06-21;;M/N;Found
Husky X;Black & Brown & white;1999-09-03;2005-06-21;Primo;M/N;Matched
Rottweiller;Black & Tan;1999-09-04;2005-06-21;Rufus;M/N;Matched
Mastiff X Shep;Reddish Brown;1999-09-04;2005-06-21;Gage;M/N;Matched
Doby;Black & Tan;1999-09-05;2005-06-21;;F;Matched
Rottweiler;Black & Brown;1999-09-09;2005-06-21;Skully;F/S;Matched
JR Terrier X;White with Brown Ears;1999-09-10;2005-06-21;;M/N;Found
Rottweiller;Black & Tan;1999-09-10;2005-06-21;Mercedes;F/S;Found
Shih Tzu;Black & White;1999-09-11;2005-06-21;Bounce;M;Matched
Malamute;Grey & White & Black;1999-09-12;2005-06-21;Nishka;F/S;Matched
Maltipoo X;Brown & Tan;1999-09-12;2005-06-21;;M;Lost
Pomeranian X;Black with White Chest;1999-09-13;2005-06-21;Chum Chum;F;Lost
Lab;Black;1999-09-13;2005-06-21;Kangta;M;Lost
Sheltie;Tri-Colr;1999-09-14;2005-06-21;Seymour;M;Lost
Alsation;Black;1999-09-16;2005-06-21;Aries;M;Matched
Mixed Breed ?;White;1999-09-16;2005-06-21;Tomy;M;Lost
Lab;Black;1999-09-17;2005-06-21;Phoenix;F/S;Lost
Rhodesian Ridgeback;Brown;1999-09-19;2005-06-21;Zuri;F;Matched
Husky X  Malamute;Biege & Tan;1999-09-19;2005-06-21;Pia;F;Lost
Rotty X;Black & Brown;1999-09-21;2005-06-21;Rocky;M/N;Lost
Malamute;White & Silver;1999-09-23;2005-06-21;Kokanee;M/N;Lost
German Shepherd;Tan & Black;1999-09-27;2005-06-21;Shadow;M;Matched
Basset X Shepherd;Black & Brown;1999-09-27;2005-06-21;Kamodo;M;Matched
Collie X Ret;Light Tan;1999-09-29;2005-06-21;Charly;M;Matched
Bouvier;Black & Grey;1999-09-30;2005-06-21;Vinny;M;Matched
Border Collie X Shep;Black & White;1999-09-29;2005-06-21;;F;Lost
Pom or Lhasa Apso?;Black & Brown;1999-10-01;2005-06-21;;M/N;Matched
Staff Terrier;Black;1999-09-30;2005-06-21;Thor;M;Matched
Rottweiler;Black &  Tan;1999-10-04;2005-06-21;;M/N;Found
Lab;Golden;1999-10-04;2005-06-21;Keyser;M;Lost
Rotty X Shep;Black & Tan & White;1999-10-04;2005-06-21;Cheema;F/S;Matched
small dog ?;Black & Grey;1999-10-05;2005-06-21;?;M/N;Found
Shep X Lab;Black & White;1999-10-06;2005-06-21;Jessie;F/S;Lost
Bichon Frise;White;1999-10-08;2005-06-21;Gucci;M/N;Lost
?;Blonde;1999-10-08;2005-06-21;;M;Found
Min Pincher;Black & Tan;1999-10-08;2005-06-21;Tika;F/S;Lost
Chow X Collie;Black;1999-10-09;2005-06-21;Suki;F/S;Lost
Shepherd X;Beige with Black Snout;1999-10-12;2005-06-21;Chase;F/S;Lost
Springer Spaniel;White & Brown;1999-10-13;2005-06-21;;F/S;Matched
Nor. Elkhound;Salt & Pepper;1999-10-14;2005-06-21;Ben;M/N;Lost
Collie X Fox;Black;1999-10-15;2005-06-21;Kayla;F/S;Lost
Lab;White;1999-10-16;2005-06-21;Fletcher;M;Lost
Collie X Shep;Tan;1999-10-15;2005-06-21;;F;Found
Doby;Black & Tan;1999-10-16;2005-06-21;Zeus;M;Found
Shep X;Black;1999-10-15;2005-06-21;;;Found
Rott;Black;1999-10-15;2005-06-21;Nibbles;F;Lost
Rottweiler X;Black & Tan;1999-10-19;2005-06-21;;F;Matched
Shep X Rott;Brown & Black;1999-10-23;2005-06-21;George;F/S;Lost
Cocka-poo;Apricot;1999-10-24;2005-06-21;Whitney;F;Found
Lab;Black & White;1999-10-26;2005-06-21;Sam;M;Matched
Chihuahua;Fawn & Black;1999-10-30;2005-06-21;Nicki;F;Lost
Shep;Black & Tan;1999-11-01;2005-06-21;;M;Found
Pit  X;Black & Brown;1999-11-01;2005-06-21;Della;F/S;Lost
Springer Spaniel;Black & White;1999-10-31;2005-06-21;Tramp;M;Lost
Great Dane;Black & White Blaze;1999-11-02;2005-06-21;Shilo;M;Lost
American Eskimo;White;1999-11-02;2005-06-21;Rocky;M/N;Lost
French Bulldog;Beige;1999-11-03;2005-06-21;Chip;M/N;Lost
Shep X;Black & Tan;1999-11-03;2005-06-21;Macromee collar,CC;M;Found
Malti-poo;Black & Grey;1999-11-03;2005-06-21;Paddy;M/N;Lost
Chihuahua - long-haired;White & Brown;1999-11-04;2005-06-21;Yee-yo;M;Lost
Husky X Shep;Black & White;1999-11-08;2005-06-21;Mogul;M/N;Lost
Shep X Rott X Akita;Black & Tan Brindle;1999-11-08;2005-06-21;;M/N;Matched
Samoyed;White;1999-11-12;2005-06-21;Syd;F/S;Lost
Husky X;White;1999-11-14;2005-06-21;;M/N;Lost
Samoyed;White;1999-11-14;2005-06-21;;M;Lost
Springer Spaniel;Brown & White;1999-11-15;2005-06-21;Sammy;F/S;Lost
Lab X  (pup);Black & Brown;1999-11-16;2005-06-21;;M;Found
German Pincher;Black & Tan;1999-11-16;2005-06-21;;F;Found
Retriever;Gold;1999-11-17;2005-06-21;;M;Matched
Lab;Gold;1999-11-18;2005-06-21;Golden;M/N;Lost
Pom;Tan;1999-11-19;2005-06-21;Foxy;F;Lost
Sheltie;Brown & White;1999-11-17;2005-06-21;Jasmine;F;Lost
Shepherd;Black & Tan;1999-11-20;2005-06-21;Shadow;M;Lost
West Highland Terrier;White;1999-11-21;2005-06-21;;M/N;Lost
Pug X Terrier;Reddish Brown;1999-11-21;2005-06-21;Muggins;M/N;Lost
Standard Poodle;Black;1999-11-21;2005-06-21;;F;Found
Yorkshire Terrier;Brown;1999-11-23;2005-06-21;Bandit;M;Lost
Sheltie X Dach;Brown & Red;1999-11-23;2005-06-21;Brownie;M/N;Lost
Boxer;White & Brown;1999-11-14;2005-06-21;Lucky;M;Lost
Husky X Wolf;Black & Tan;1999-11-25;2005-06-21;Luna;F/S;Lost
Sheltie;Fawn & White;1999-11-25;2005-06-21;Ajax;M/N;Matched
Shih Tzu;Grey;1999-11-25;2005-06-21;Bow;M/N;Lost
Bouvier;Black;1999-11-26;2005-06-21;Kenny;M;Lost
Doby;Black & Tan;1999-11-27;2005-06-21;;M;Matched
Lab;Black;1999-11-28;2005-06-21;Gean;F;Lost
Airedale;Black & Tan;1999-11-30;2005-06-21;;M/N;Matched
Shep X Collie;Black & Tan;1999-11-30;2005-06-21;Katy;F/S;Lost
Pitbull;Black & White;1999-12-01;2005-06-21;Princess;F;Lost
Lab X;Black;1999-12-02;2005-06-21;Buddy;M/N;Lost
Rottweiller;Black & Tan;1999-12-02;2005-06-21;;M/N;Matched
Retriever;Gold;1999-12-02;2005-06-21;Rune;F;Matched
Lab X Rott;Black;1999-12-03;2005-06-21;Casey;F/S;Lost
Sharpei;Tan;1999-12-03;2005-06-21;Elvis;M;Lost
Boston Terrier;Black & White;1999-12-04;2005-06-21;;M;Lost
Beagle;Black, white and tan;2012-07-22;2012-07-22;Snoopy;;Lost
DLH cat;Black & white;2012-07-21;2012-07-25;Sylvie;F/S;Lost
Min Pin/ Chihuahua X;Black/Brown;2012-07-26;2012-07-28;Ninja;F/S;Lost
Himalayan Persian;White;2012-07-29;2012-07-29;Batise;F;Lost
Rottweiler;Black and brown trim;2012-07-28;2012-07-29;Chach;M;Matched
Shih Tzu;White/brown;2012-07-29;2012-07-29;Kulka;F;Lost
DSH;Black/White;2012-07-30;2012-07-31;Cheech;M/N;Lost
German Shepard X Akita;Brown;2012-07-31;2012-07-31;Nala;F/S;Matched
Short Haired Chihuahua;Brown;2012-07-29;2012-07-31;Taqito;M;Lost
Med Mix;Brindle;2012-07-31;2012-07-31;Jinny;F;Lost
DSH Cat;Black & Tan;2012-07-20;2012-08-01;Athena;F/S;Lost
French Bull Dog;Red/Fawn;2012-08-02;2012-08-03;Cooper;M/N;Lost
Pekeneese/Yorkshire;Blonde;2012-08-02;2012-08-03;Ritzi;F/S;Lost
cockateil;Grey/Yellow/White;2012-07-01;2012-08-03;Holly;F;Lost
Rottweiler;Black/Tan;2012-08-04;2012-08-05;Scotch;M/N;Matched
Collie;Golden;2012-08-05;2012-08-05;Simba;X;Lost
Domestic short haired tabby;brown with black marking;2012-08-06;2012-08-06;Otis;M;Lost
DMH;Grey;2012-08-09;2012-08-09;None;M;Lost
Lovebirds ( 4 );Blue & Green;2012-08-09;2012-08-09;Wilferd Vacheresse;;Lost
Shiba Inu;Red;2012-08-09;2012-08-10;Puma;M/N;Matched
Parrot;Green/Grey;2012-08-11;2012-08-11;Gugu;M;Lost
Chow Chow;Golden;2012-08-11;2012-08-12;Chubby;M;Lost
Chihuahua;Brown/Black;2012-08-13;2012-08-13;Tessa;F/S;Lost
Brussels Griffon;Tan/ Black;2012-08-14;2012-08-14;Mick;M/N;Lost
DSH;Grey/White;2012-08-11;2012-08-14;Smokey;M/N;Lost
Shih Tzu;White;2012-05-04;2012-08-15;Kulka;F;Lost
Yorkshire Terrior;Brown/Black;2012-08-15;2012-08-16;Kacy;F/S;Lost
Shar-Pei X;Black/brown;2012-08-16;2012-08-16;Rue;F/S;Matched
Corgie Chihuahua;Golden;2012-08-08;2012-08-19;Kit Kat;F;Matched
Pit Bull;Tan;2012-08-16;2012-08-19;Belle;F;Lost
Cockatiel;Grey, white, yellow, black wit;2012-08-20;2012-08-20;Holly;;Lost
American Bulldog Cross;White with brindle patches;2012-08-21;2012-08-21;Lamont;M;Matched
Budgie;Blue & white;2012-07-17;2012-08-22;Apollo;X;Lost
DSH;Black/Brown/Grey Tabby;2012-08-15;2012-08-22;Mookie;M/N;Lost
Shih Tzu;Black/White;2012-08-22;2012-08-22;Toby;M/N;Matched
Shih Tzu;Black/White;2012-08-22;2012-08-22;Toby;M;Matched
Pom;Blonde;2012-08-20;2012-08-22;Yuki;F;Matched
DSH;Solid Gray;2012-08-14;2012-08-23;Isabella;F/S;Lost
DSH;Black & White Spot on Chest;2012-08-22;2012-08-26;Charlie;M/N;Lost
Pit Bull;Red;2012-08-27;2012-08-27;Sammy;F/S;Matched
DLH;Grey/White;2012-08-30;2012-08-30;Liquor;F/S;Lost
Alaskan Husky;Black/White;2012-08-30;2012-08-30;Quest;M/N;Lost
Basset Hound;Brown/White;2012-08-31;2012-09-01;Kirra;F/S;Matched
DSH;Orange;2012-09-01;2012-09-02;Rodeo;M/N;Lost
Unknown but small dog;Brown;2012-09-03;2012-09-03;Teddy;M;Lost
DSH;White;2012-08-29;2012-09-04;Elliot;M/N;Lost
Chihuahua;White with brown face & ears;2012-09-06;2012-09-06;Slinky;M/N;Matched
DSH;Black/White;2012-08-29;2012-09-08;Pix;M/N;Lost
Lhasa Apso X;White/Brown;2012-09-09;2012-09-09;Maddie;F;Lost
DSH cat;Grey;2012-08-30;2012-09-11;Vero;M/N;Lost
DSH;Black ( Tabby Stripes);2012-09-05;2012-09-11;Lola;F/S;Lost
Chihuahua X Yorkie;Black w/Tan;2012-09-10;2012-09-11;Baby Girl;F;Lost
DSH cat;Grey;2012-09-11;2012-09-11;Grady;M/N;Lost
DSH;Light Brown w/White;2012-09-12;2012-09-12;Max;M/N;Lost
Small dog;Black/White;2012-09-12;2012-09-12;Bahkti;F/S;Matched
Pomeranian X;White Curly hair;2012-09-13;2012-09-13;Demi;F/S;Lost
DSH;Grey/White;2012-09-05;2012-09-15;Cat;F/S;Lost
Mixed;Brown w/White & Tan;2012-09-20;2012-09-20;Sophie;F/S;Lost
Poodle X Yorkie;Sesame / White w/Black;2012-09-24;2012-09-24;M.J;F;Matched
Jack Russell;Tan with white bib;2012-09-24;2012-09-24;Rolo;M;Matched
Shih Tzu (Senior);Black & white;2012-09-25;2012-09-25;Treena;F/S;Matched
German Shepherd;Black w/Brown;2012-09-27;2012-09-26;Miya;F/S;Lost
Pit Bull;Red Nose w/White;2012-09-26;2012-09-26;Coca;F/S;Lost
DSH Cat;White;2012-09-12;2012-09-26;Kitty;F/S;Lost
Shepherd/Corgi X;black /Tan;2012-09-26;2012-09-27;Luke;M/N;Matched
Terrier X;Tan;2012-09-27;2012-09-27;Jimmy;F/S;Lost
Pom X;Blonde;2012-09-27;2012-09-27;Tucker;M;Lost
Shih Tzu X;Black/White;2012-09-28;2012-09-29;Kiwi;F;Lost
Shih Tzu X;Grey/White;2012-09-28;2012-09-30;Bue;M;Lost
DSH;Grey w/White;2012-09-27;2012-10-01;Paco;M/N;Lost
French Bulldog;Golden Brown;2012-10-01;2012-10-03;Shalomar;F;Lost
Dalmation X Border Collie;Black/White;2012-10-03;2012-10-04;;F/S;Lost
Samoyed;White;2012-10-05;2012-10-05;Lulu;F;Lost
Pomeranian;Cream/Tan;2012-10-05;2012-10-06;Ebi;F/S;Matched
DSH;Grey/Black Stripped spotted be;2012-09-13;2012-10-09;Shamus;M/N;Lost
DLH;Grey;2012-10-09;2012-10-11;Benny;M/N;Lost
Pug;Grey;2012-10-14;2012-10-14;Pugsley;M/N;Lost
Terrier;Brown;2012-10-17;2012-10-17;?;M;Matched
Terrier;Black;2012-10-17;2012-10-17;?;F;Matched
DSH;Apricot & white;2012-10-17;2012-10-18;Darcy;M/N;Lost
Rotty X;Black & Tan;2012-10-18;2012-10-18;Keira;F;Matched
Siamese;Cream & Brown;2012-09-15;2012-10-18;Didi;F/S;Lost
Yorkie X;brown/black;2012-10-21;2012-10-21;Rufus;M/N;Lost
DSH;Brown Tabby;2012-10-20;2012-10-23;Hunter;M/N;Lost
Papillon;White w/Brown & Black;2012-10-23;2012-10-24;Codi;M;Lost
DSH;Orange / White Tabby;2012-10-14;2012-10-24;Happy;M;Lost
ShihTzu;Black/White;2012-10-27;2012-10-27;Princess;F;Matched
Jack Russell;Brown;2012-10-28;2012-10-28;Buster;F;Found
Chihuahua Cross;Tan and white;2012-10-28;2012-10-28;Sunny;F;Matched
Lab X;Blonde;2012-10-30;2012-10-30;Bonita;F/S;Matched
Shih Tzu;Black/White;2012-10-30;2012-10-30;Daisy;F;Matched
Munsterlander;Brown and White;2012-11-02;2012-11-02;Tucker;M/N;Lost
Shih Tzu;Black & White;2012-11-02;2012-11-02;Tika;F;Matched
Shih Tzu;Grey/white;2012-11-02;2012-11-02;Lok Lok;M/N;Matched
Border Collie X;Black w/Brown Undercoat;2012-11-07;2012-11-07;Mocha;F/S;Matched
French Bulldog;Brown/White;2012-11-07;2012-11-07;Rocky;M;Matched
Staffordshire;Brindle w/White chest/face;2012-11-07;2012-11-08;Merry Lou;F/S;Lost
English Cocker Spaniel;Red;2012-11-08;2012-11-08;Sasha;F;Matched
DMH;Orange/white;2012-11-06;2012-11-09;Amos;M/N;Lost
DSH;Brown Tabby;2012-11-08;2012-11-09;?;;Lost
DLH Mane Coon;Black/Tan/Brown;2012-10-20;2012-11-13;?;M/N;Lost
Husky X;grey/black/white;2012-11-14;2012-11-14;Comet;M/N;Matched
Siamese X;Light Colour /Golden/Brown;2012-11-14;2012-11-15;Mr. Fish Sticks;M;Lost
DSH;Cream Ginger Tabby;2012-11-15;2012-11-16;Fozzy;M;Lost
Maltise;White;2012-11-18;2012-11-18;Bijou;F;Matched
Small Mutt;Golden;2012-11-20;2012-11-20;;F;Matched
DLH (Siamese Ragdoll Cat);Beige/White;2012-11-20;2012-11-21;Smudge;M/N;Lost
DMH - Manx cat;Orange/Brown ?;2012-11-19;2012-11-22;Simba;M/N;Lost
Labradoodle;Cream;2012-11-25;2012-11-25;Casey;M;Lost
Beagle;Tri Colour;2012-11-27;2012-11-27;Audrey;F/S;Matched
Yorkie X;Black/Tan;2012-11-28;2012-11-28;Charlie;M/N;Lost
Fox Terrier;Black & white;2012-11-29;2012-11-29;Emmy;F;Matched
Border Collie;black and white;2012-12-02;2012-12-02;Maya;F;Matched
Rotti X Collie;Black w/Tan Face & Leg;2012-12-12;2012-12-13;Bandit;M;Matched
Yorkie;Brown/ Black;2012-12-16;2012-12-16;Munchers;F;Lost
Mini Australian Shepherd;Wht, Blk & tan (Mostly wht);2012-12-18;2012-12-18;Levi;M;Lost
Belgian Shepherd X;Black;2012-12-19;2012-12-19;Nikki;F/S;Matched
DLH Cat;Grey & white;2012-12-19;2012-12-19;Smoky;M/N;Lost
Wheaton Terrier & Poodle X;White;2012-12-19;2012-12-19;Chloe;F/S;Matched
DMH;Black and Grey Tabby;2012-12-19;2012-12-19;Sheldon;F/S;Lost
Border collie X;Black;2012-12-23;2012-12-23;Pebbles;F;Lost
Great Pyr X;Whit/Tan;2012-12-26;2012-12-27;Gyspy;M/N;Matched
Chi x Min Pin;Black with some tan;2012-12-27;2012-12-28;Wylie;F;Lost
shitzu;black and white;2013-01-01;2013-01-01;Jetsun;F;Matched
DMH;Brown/White Tabby;2012-12-21;2013-01-02;Muggs;F/S;Lost
Pitbull;Tan & white;2013-01-03;2013-01-03;Dito;M;Matched
DLH Cat;Black w/white;2013-01-02;2013-01-03;Cleo;F/S;Lost
African grey parrot;Grey;2013-01-06;2013-01-06;;X;Lost
Pom X Poodle;White / Cream;2013-01-09;2013-01-10;Teddy;M;Lost
German Shepherd;White;2013-01-11;2013-01-11;Brutus;M;Lost
DLH Cat;Black & white;2013-01-10;2013-01-11;Jake;M/N;Lost
Cattle Dog;Red / White;2013-01-18;2013-01-17;Okra;F/S;Lost
Maltese X Terrier;White w/Tan Ears;2013-01-17;2013-01-18;Loopy;M/N;Matched
Lab X;Brown;2013-01-18;2013-01-18;Irwin;M;Lost
Lab X;Black;2013-01-22;2013-01-22;Willow;F;Found
French Bulldog;Black/White;2013-01-21;2013-01-23;Yoda;;Lost
Min Schnauzer;Grey;2013-01-24;2013-01-24;;;Lost
Chow Chow;Black;2013-01-28;2013-01-28;Atticus;M;Matched
DSH;Grey;2013-01-30;2013-01-30;Mog;M/N;Lost
DLH;Apricot / White;2013-01-22;2013-01-31;Ziggy;M;Lost
