Geom;P_ANNOTATION_LBL_ID
"{""type"": ""LineString"", ""coordinates"": [[-123.07387338784453, 49.28365243487448], [-123.07346302361746, 49.28370558811198]]}";__FJ7M4Y
"{""type"": ""LineString"", ""coordinates"": [[-123.06334856325877, 49.28333909458771], [-123.06295174714816, 49.28333761136135]]}";__FJ7M58
"{""type"": ""LineString"", ""coordinates"": [[-123.13567648932424, 49.2722052988614], [-123.13565391616024, 49.27174385390575]]}";__FJ7M5B
"{""type"": ""LineString"", ""coordinates"": [[-123.02751042104583, 49.23245349388645], [-123.0272620765148, 49.232456889999206]]}";__FJ7M5D
"{""type"": ""LineString"", ""coordinates"": [[-123.0304004586148, 49.2322784684868], [-123.03028384212065, 49.23228093683009]]}";__FJ7M5E
"{""type"": ""LineString"", ""coordinates"": [[-123.16431942093058, 49.2677467052602], [-123.1641965291934, 49.26774535078068]]}";__FJ7M5H
"{""type"": ""LineString"", ""coordinates"": [[-123.06621532869897, 49.26816430941026], [-123.06620951559306, 49.26844271409608]]}";__FJ7M5N
"{""type"": ""LineString"", ""coordinates"": [[-123.12707814139942, 49.253245026473614], [-123.12707483989325, 49.25329720239911]]}";__FJ7M5T
"{""type"": ""LineString"", ""coordinates"": [[-123.12492668010361, 49.252891638773725], [-123.12487308782288, 49.252891696710485]]}";__FJ7M5U
"{""type"": ""LineString"", ""coordinates"": [[-123.12692505875536, 49.253824037331825], [-123.12685016905402, 49.25382547785911]]}";__FJ7M5V
"{""type"": ""LineString"", ""coordinates"": [[-123.18619214572816, 49.2665750325607], [-123.18639214929817, 49.266576949895494], [-123.18639167492772, 49.266451017774465], [-123.18601568401557, 49.26644038869537]]}";__FJ7M62
"{""type"": ""LineString"", ""coordinates"": [[-123.18503603466192, 49.27260442124676], [-123.18495726173315, 49.27260391770356]]}";__FJ7M66
"{""type"": ""LineString"", ""coordinates"": [[-123.18662867879318, 49.27192974766263], [-123.18648514208967, 49.27192845022966]]}";__FJ7M6C
"{""type"": ""LineString"", ""coordinates"": [[-123.180735259083, 49.269108534001866], [-123.1806263828866, 49.2691067163166]]}";__FJ7M6D
"{""type"": ""LineString"", ""coordinates"": [[-123.18512714325378, 49.259519388779474], [-123.18502720986537, 49.2595181995776]]}";__FJ7M6E
"{""type"": ""LineString"", ""coordinates"": [[-123.18750512727293, 49.26225887875182], [-123.1874072688145, 49.262259046516604]]}";__FJ7M6G
"{""type"": ""LineString"", ""coordinates"": [[-123.13374781219721, 49.20039853846542], [-123.1327302092575, 49.20038338585674]]}";__FJ7M6K
"{""type"": ""LineString"", ""coordinates"": [[-123.14438367839773, 49.267427489468375], [-123.14374448622067, 49.26742136913116]]}";__FJ7M6P
"{""type"": ""LineString"", ""coordinates"": [[-123.13526058180679, 49.26276507082215], [-123.13508656880745, 49.26276176627337]]}";__FJ7M6S
"{""type"": ""LineString"", ""coordinates"": [[-123.13497180008882, 49.26276064107182], [-123.13491256049002, 49.262760170546706]]}";__FJ7M6T
"{""type"": ""LineString"", ""coordinates"": [[-123.13363235721418, 49.2582670476416], [-123.13308933218133, 49.25825968668553]]}";__FJ7M6Y
"{""type"": ""LineString"", ""coordinates"": [[-123.09946223068285, 49.255068752559765], [-123.09940203972961, 49.25506880436131]]}";__FJ7M71
"{""type"": ""LineString"", ""coordinates"": [[-123.02401130631091, 49.29109496210321], [-123.02378025382303, 49.291093327786605]]}";__FJ7M72
"{""type"": ""LineString"", ""coordinates"": [[-123.0783576644635, 49.282807955521136], [-123.07753513239021, 49.2828017639814], [-123.0775442372428, 49.28247883108432], [-123.07822212570152, 49.282482871770426]]}";__FJ7M77
"{""type"": ""LineString"", ""coordinates"": [[-123.09392151117252, 49.2836819103015], [-123.09383722001729, 49.28368062950641]]}";__FJ7M7A
"{""type"": ""LineString"", ""coordinates"": [[-123.05356682155461, 49.240189743633685], [-123.05349933710617, 49.24016170975312]]}";__FJ7M7M
"{""type"": ""LineString"", ""coordinates"": [[-123.07862791869856, 49.26351047177858], [-123.0785146633709, 49.263510548795736]]}";__FJ7M83
"{""type"": ""LineString"", ""coordinates"": [[-123.1283435342785, 49.20728321442823], [-123.12835286336248, 49.20706849535807]]}";__FJ7M87
"{""type"": ""LineString"", ""coordinates"": [[-123.06397820635799, 49.279968596948834], [-123.06397779847731, 49.280078437303516]]}";__FJ7M8D
