enzyme,pathway_id
P09172,SMP0000218
P40126,SMP0000218
P11086,SMP0000218
P21397,SMP0000218
P07327,SMP0000218
Q93099,SMP0000218
P14174,SMP0000218
P19801,SMP0000218
P21964,SMP0000218
P46952,SMP0000218
Q9UDR5,SMP0000239
P49419,SMP0000239
Q8N5Z0,SMP0000239
P30084,SMP0000239
Q16836,SMP0000239
P24752,SMP0000239
P52569,SMP0000239
Q9BXI2,SMP0000239
Q9P0Z9,SMP0000239
Q92947,SMP0000239
Q96HY7,SMP0000239
P36957,SMP0000239
P09622,SMP0000239
A8YXX4,SMP0000339
Q9UI32,SMP0000339
Q06210,SMP0000339
Q96EK6,SMP0000339
Q9UJ70,SMP0000339
P27708,SMP0000339
P31327,SMP0000339
Q06203,SMP0000339
P49915,SMP0000339
Q6IA69,SMP0000339
P30038,SMP0000339
P24298,SMP0000339
P00367,SMP0000339
P00505,SMP0000339
Q5JPH6,SMP0000339
P48506,SMP0000339
P48507,SMP0000339
P48637,SMP0000339
P00390,SMP0000339
Q99259,SMP0000339
P80404,SMP0000339
P51649,SMP0000339
P47897,SMP0000339
O15270,SMP0000348
O15269,SMP0000348
Q06136,SMP0000348
Q9NRA0,SMP0000348
Q8IWX5,SMP0000348
O14494,SMP0000348
O95470,SMP0000348
Q6QHC5,SMP0000348
Q8TDN7,SMP0000348
Q8TCT0,SMP0000348
Q86VZ5,SMP0000348
Q6UWV6,SMP0000348
Q16880,SMP0000348
P54803,SMP0000348
P04062,SMP0000348
Q16739,SMP0000348
P16278,SMP0000348
Q9UBX8,SMP0000348
Q99999,SMP0000348
P15289,SMP0000348
P06280,SMP0000348
Q9UQ49,SMP0000348
Q9NUN7,SMP0000348
P00966,SMP0000360
P04424,SMP0000360
P31327,SMP0000360
P00367,SMP0000360
P04181,SMP0000360
P30038,SMP0000360
O43272,SMP0000360
Q96C36,SMP0000360
P07814,SMP0000360
Q7Z4N8,SMP0000360
Q5T160,SMP0000360
P50440,SMP0000360
Q14353,SMP0000360
P12277,SMP0000360
P05089,SMP0000360
P00480,SMP0000360
Q9Y619,SMP0000360
P14920,SMP0000360
P17174,SMP0000360
P29475,SMP0000360
P00966,SMP0000361
P04424,SMP0000361
P31327,SMP0000361
P00367,SMP0000361
P04181,SMP0000361
P30038,SMP0000361
O43272,SMP0000361
Q96C36,SMP0000361
P07814,SMP0000361
Q7Z4N8,SMP0000361
Q5T160,SMP0000361
P50440,SMP0000361
Q14353,SMP0000361
P12277,SMP0000361
P05089,SMP0000361
P00480,SMP0000361
Q9Y619,SMP0000361
P14920,SMP0000361
P17174,SMP0000361
P29475,SMP0000361
P17174,SMP0000370
Q96RQ9,SMP0000370
P17735,SMP0000370
P00439,SMP0000370
P54577,SMP0000370
Q9Y285,SMP0000370
Q9NSD9,SMP0000370
P32754,SMP0000370
Q93099,SMP0000370
O43708,SMP0000370
P16930,SMP0000370
P09172,SMP0000429
P30837,SMP0000429
P17735,SMP0000429
P17174,SMP0000429
P32754,SMP0000429
O43708,SMP0000429
P16930,SMP0000429
P20711,SMP0000429
P30838,SMP0000429
P14679,SMP0000429
P40126,SMP0000429
P11086,SMP0000429
P21397,SMP0000429
P07327,SMP0000429
Q93099,SMP0000429
P14174,SMP0000429
P19801,SMP0000429
P21964,SMP0000429
P46952,SMP0000429
P00325,SMP0000429
P05091,SMP0000429
P05181,SMP0000429
P04040,SMP0000429
Q9NR19,SMP0000429
Q9NUB1,SMP0000429
Q8WTS6,SMP0000465
Q9NVH6,SMP0000465
P34896,SMP0000465
P49189,SMP0000465
O75936,SMP0000465
P34896,SMP0000033
P42898,SMP0000033
Q99707,SMP0000033
P32929,SMP0000033
P35520,SMP0000033
Q93088,SMP0000033
P26358,SMP0000033
P17707,SMP0000033
P19623,SMP0000033
Q13126,SMP0000033
P23526,SMP0000033
Q96RQ9,SMP0000033
P56192,SMP0000033
Q96DP5,SMP0000033
P31153,SMP0000033
Q9NZL9,SMP0000033
Q8NE62,SMP0000033
Q8IXL7,SMP0000033
Q9Y3D2,SMP0000033
P50583,SMP0000144
O75414,SMP0000144
O75356,SMP0000144
Q5MY95,SMP0000144
Q16774,SMP0000144
P49902,SMP0000144
Q16854,SMP0000144
P07741,SMP0000144
P00491,SMP0000144
P00492,SMP0000144
Q9Y2T3,SMP0000144
Q9UKK9,SMP0000144
P21108,SMP0000144
Q06203,SMP0000144
P22102,SMP0000144
O15067,SMP0000144
P22234,SMP0000144
P30566,SMP0000144
P31939,SMP0000144
Q9BY32,SMP0000144
P49915,SMP0000144
P20839,SMP0000144
P36959,SMP0000144
P47989,SMP0000144
P30520,SMP0000144
P23109,SMP0000144
P00813,SMP0000144
P00568,SMP0000144
Q8NBU5,SMP0000144
Q08499,SMP0000144
Q96PN6,SMP0000144
P33402,SMP0000144
Q02153,SMP0000144
Q9Y233,SMP0000144
P10599,SMP0000144
P23921,SMP0000144
P31350,SMP0000144
P50583,SMP0000168
O75414,SMP0000168
O75356,SMP0000168
Q5MY95,SMP0000168
Q16774,SMP0000168
P49902,SMP0000168
Q16854,SMP0000168
P07741,SMP0000168
P00491,SMP0000168
P00492,SMP0000168
Q9Y2T3,SMP0000168
Q9UKK9,SMP0000168
P21108,SMP0000168
Q06203,SMP0000168
P22102,SMP0000168
O15067,SMP0000168
P22234,SMP0000168
P30566,SMP0000168
P31939,SMP0000168
Q9BY32,SMP0000168
P49915,SMP0000168
P20839,SMP0000168
P36959,SMP0000168
P47989,SMP0000168
P30520,SMP0000168
P23109,SMP0000168
P00813,SMP0000168
P00568,SMP0000168
Q8NBU5,SMP0000168
Q08499,SMP0000168
Q96PN6,SMP0000168
P33402,SMP0000168
Q02153,SMP0000168
Q9Y233,SMP0000168
P10599,SMP0000168
P23921,SMP0000168
P31350,SMP0000168
P50583,SMP0000203
O75414,SMP0000203
O75356,SMP0000203
Q5MY95,SMP0000203
Q16774,SMP0000203
P49902,SMP0000203
Q16854,SMP0000203
P07741,SMP0000203
P00491,SMP0000203
P00492,SMP0000203
Q9Y2T3,SMP0000203
Q9UKK9,SMP0000203
P21108,SMP0000203
Q06203,SMP0000203
P22102,SMP0000203
O15067,SMP0000203
P22234,SMP0000203
P30566,SMP0000203
P31939,SMP0000203
Q9BY32,SMP0000203
P49915,SMP0000203
P20839,SMP0000203
