ahfs_code,drugbank_id
48:12.08,DB00986
12:08.08,DB00986
10:00.00,DB00987
12:12.08.08,DB00988
12:04.00,DB00989
10:00.00,DB00990
28:08.04.92,DB00991
84:92.00,DB00992
92:44.00,DB00993
08:12.02,DB00994
84:04.04,DB00994
60:00.00,DB00995
28:12.92,DB00996
10:00.00,DB00997
28:32.28,DB00998
40:28.20,DB00999
12:12.08.12,DB01001
12:12.00,DB01001
52:02.00,DB01003
48:10.32,DB01003
08:18.32,DB01004
10:00.00,DB01005
10:00.00,DB01006
84:04.08.08,DB01007
10:00.00,DB01008
28:08.04.92,DB01009
92:92.00,DB01012
84:06.00,DB01013
84:06.08,DB01013
08:12.20,DB01015
68:20.20,DB01016
52:04.04,DB01017
08:12.24,DB01017
24:08.16,DB01018
12:04.00,DB01019
24:12.08,DB01020
88:24.00,DB01022
24:28.08,DB01023
92:44.00,DB01024
84:04.08.08,DB01026
08:14.08,DB01026
28:08.92,DB01028
24:32.08,DB01029
10:00.00,DB01030
10:00.00,DB01033
24:04.04.04,DB01035
86:12.04,DB01036
86:12.00,DB01036
28:36.32,DB01037
24:06.06,DB01039
92:20.00,DB01041
10:00.00,DB01042
28:92.00,DB01043
52:04.04,DB01044
08:12.18,DB01044
08:16.04,DB01045
56:92.00,DB01046
84:06.00,DB01047
08:18.08.20,DB01048
12:16.00,DB01049
28:08.04.92,DB01050
08:12.16.04,DB01053
08:08.00,DB01058
52:04.04,DB01059
08:12.18,DB01059
08:12.16.08,DB01060
86:12.04,DB01062
12:12.08.04,DB01064
28:12.08,DB01068
28:24.92,DB01069
04:04.12,DB01069
08:18.08.08,DB01072
10:00.00,DB01073
04:04.04,DB01075
04:04.00,DB01075
24:06.08,DB01076
92:24.00,DB01077
92:00.00,DB01077
28:12.92,DB01080
08:12.02,DB01082
56:92.00,DB01083
52:40.20,DB01085
12:04.00,DB01085
84:08.00,DB01086
52:16.00,DB01086
08:30.08,DB01087
84:04.08.12,DB01091
92:00.00,DB01093
24:06.08,DB01095
92:36.00,DB01097
24:06.08,DB01098
28:16.08.92,DB01100
10:00.00,DB01101
28:16.04.20,DB01104
52:02.00,DB01106
20:12.04.16,DB01109
92:00.00,DB01109
84:04.08.08,DB01110
08:12.28.28,DB01111
08:12.06.08,DB01112
24:12.92,DB01113
04:04.20,DB01114
24:28.08,DB01115
08:30.92,DB01117
24:04.04.20,DB01118
24:08.20,DB01119
68:20.20,DB01120
68:20.20,DB01124
92:08.00,DB01126
10:00.00,DB01128
56:28.36,DB01129
84:06.00,DB01130
08:30.08,DB01131
68:20.28,DB01132
24:24.00,DB01136
08:12.18,DB01137
40:40.00,DB01138
08:12.06.04,DB01140
08:14.16,DB01141
84:08.00,DB01142
28:16.04.28,DB01142
08:12.16.12,DB01147
08:12.16,DB01147
86:12.04,DB01148
08:12.06.08,DB01150
28:16.04.28,DB01151
28:16.04.92,DB01156
24:04.04.20,DB01158
28:04.16,DB01159
76:00.00,DB01160
24:20.00,DB01162
40:34.00*,DB01164
40:12.00,DB01164
52:04.04,DB01165
08:12.18,DB01165
08:14.08,DB01167
10:00.00,DB01168
10:00.00,DB01169
28:16.04.12,DB01171
12:20.92,DB01173
28:12.04,DB01174
28:24.04,DB01174
28:16.04.20,DB01175
10:00.00,DB01177
84:92.00,DB01179
10:00.00,DB01181
24:04.04.12,DB01182
28:10.00,DB01183
56:32.00,DB01184
84:04.08.20,DB01188
28:04.16,DB01189
84:04.04,DB01190
08:12.28.20,DB01190
28:08.08,DB01192
24:24.00,DB01193
52:40.12,DB01194
24:04.04.12,DB01195
10:00.00,DB01196
24:32.04,DB01197
28:24.92,DB01198
28:36.20.04,DB01200
28:12.92,DB01202
24:24.00,DB01203
10:00.00,DB01204
28:92.00,DB01205
10:00.00,DB01206
52:40.08,DB01210
08:12.12.92,DB01211
08:12.06.12,DB01212
92:12.00,DB01213
92:08.00,DB01216
84:92.00,DB01216
10:00.00,DB01217
12:20.08,DB01219
08:12.28.30,DB01220
28:04.00,DB01221
28:04.92,DB01221
68:04.00,DB01222
52:08.00,DB01222
56:36.00,DB01222
52:08.08,DB01222
86:16.00,DB01223
28:16.08.04,DB01224
20:12.04.16,DB01225
10:00.00,DB01229
08:18.08.08,DB01232
56:32.00,DB01233
68:04.00,DB01234
52:08.00,DB01234
52:08.08,DB01234
28:04.16,DB01236
28:16.08.04,DB01238
48:48.00,DB01240
24:06.06,DB01241
28:16.04.28,DB01242
04:04.12,DB01246
10:00.00,DB01248
36:68.00,DB01249
56:36.00,DB01250
76:00.00,DB01253
10:00.00,DB01254
28:20.04,DB01255
84:04.04,DB01256
92:32.00,DB01257
10:00.00,DB01259
84:06.00,DB01260
68:20.05,DB01261
08:14.08,DB01263
08:18.08.08,DB01264
08:18.32,DB01265
84:04.06,DB01266
28:16.08.04,DB01267
10:00.00,DB01268
10:00.00,DB01269
52:92.00,DB01270
44:00.00,DB01271
44:00.00,DB01272
12:92.00,DB01273
24:08.20,DB01275
68:20.06,DB01276
44:00.00,DB01279
10:00.00,DB01280
92:36.00,DB01281
92:44.00,DB01281
76:00.00,DB01282
68:04.00,DB01284
36:04.00,DB01284
68:28.00,DB01284
