"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","38095","44268","Safety,Health,Environment&Fire","9.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1432988","E1","18370","22124","Personal Secretary","1.00","Planning"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","OF2","37916","45090","Military","1328.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00003226","OF2","37916","45090","Project Support Officer","4.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","D","23427","29092","Administrative Support","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058158","D","23427","29092","Other","262.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1596792","E2","15623","18815","Customer Services","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","38095","44268","Project Management","9.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1432988","OF4","67032","77617","Capability Management","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","OF2 (RFA)","37916","45090","Capability Management & Force Generation","157.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00003226","OF3","53164","57200","Project Support Officer","7.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","D","23427","29092","Decision Support","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058158","E1","18370","22124","Other","210.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1596792","D","23427","29092","Energy Management","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","38095","44268","Building Surveying","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","OF3","53164","57200","Military","873.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00003226","OF4","67032","77617","Project Support Officer","5.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","D","23427","29092","Environmental Health","1.00","Other"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058158","E2","15623","18815","Other","25.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1596792","E1","18370","22124","Energy Management","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","38095","44268","Soft Facilities Management","3.00","Operational delivery"
