"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","1","2B","20543","25985","Public Affairs Practitioner","4.00","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3C","30644","38760","Records Manager","1.00","Human Resources"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","3C","30644","38760","Requirements Analyst","3.65","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3C","30644","38760","Research Consultancy Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","2B","20543","25985","Research Project Coordinator","1.35","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3B","27418","34680","Research Scientist","15.03","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","4A","36289","45900","Retail Sales Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3C","30644","38760","Risk and Assurance Business Partner","2.00","Internal Audit"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","2B","20543","25985","Risk and Assurance Reporting Officer","0.68","Internal Audit"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","S&MD Contract Manager","2.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","4B","41531","51000","Sector Manager","8.95","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","4A","36289","45900","Senior Audit Manager","0.84","Internal Audit"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3C","30644","38760","Senior Auditor","1.81","Internal Audit"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","2A","17741","22440","Senior Business Centre Executive","1.00","Property and asset management"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","2B","20543","25985","Senior Credit Controller","2.00","Finance"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","4B","41531","51000","Senior Finance Mgr","3.00","Finance"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","4B","41531","51000","Senior Information Architect","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","4A","36289","45900","Senior Information Assurance Manager","1.00","Internal Audit"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","4A","36289","45900","Senior Operations Risk Manager","1.00","Internal Audit"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","4B","41531","51000","Senior Product Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3C","30644","38760","Senior Research Scientist","6.57","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","2B","20543","25985","Service Desk Analyst","3.86","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","3C","30644","38760","Service Level Manager","5.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","4B","41531","51000","Service Operational Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","1C","14919","18870","Service Provider 1","5.68","Property and asset management"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","1B","13705","16830","Service Provider 2","4.00","Property and asset management"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3C","30644","38760","Service Specialist","2.00","Internal Audit"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","3C","30644","38760","Service Specialist","10.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","SMH","60000","80000","Strategic Adviser Addressing","1.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3B","27418","34680","Supply Chain Analyst","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","2B","20543","25985","Support Analyst","14.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","3C","30644","38760","Support Engineer","7.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","3A","25749","31620","Support Technician","30.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","2","2B","20543","25985","Surveyor","309.29","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","3B","27418","34680","Test Analyst","10.61","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","1C","14919","18870","Trade Orders Advisor","1.81","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","1C","14919","18870","Training Coordinator","3.00","Human Resources"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","2C","22842","28050","TUS Secretary","1.00","Human Resources"
