Body_Name,Body,Payment Date,Transaction Number,Department,Supplier Name,Supplier Post Code,Expenditure Category,Net Amount
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589033,F-C & A - Central,IRONGATE MANAGED COMMUNICATIONS,DE22 3FT,425-Printing,40.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589034,C-Commercial and Operations,J VAN VLIET,NG21AH,408-Materials General,55.4900000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589035,F-C & A - Central,JAY FOSTERING LTD,LE8 6EP,516-Payts-Ext Foster Parents,3136.3600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589036,P-Royal Centre,JLA LTD,HX6 4AJ,401-Operational Equipment,677.7900000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,115.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,217.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,336.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,272.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,272.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,231.2000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,217.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,170.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,435.2000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,227.8000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,612.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,136.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,608.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,54.4000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,571.2000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,81.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,81.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,387.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,163.2000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589039,G-C & A - Over 18's,JRH SUPPORT LLP,BN11 2BW,520-Community Care,272.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589040,R-Resources,KCH BARRISTERS,NG1 5BH,456-Specialists Fees,900.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589041,G-C & A - Over 18's,KCL CARE LTD,NG8 6FS,520-Community Care,3307.5000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589041,G-C & A - Over 18's,KCL CARE LTD,NG8 6FS,520-Community Care,1039.5000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589041,G-C & A - Over 18's,KCL CARE LTD,NG8 6FS,520-Community Care,1260.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589041,G-C & A - Over 18's,KCL CARE LTD,NG8 6FS,520-Community Care,1118.2500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589041,G-C & A - Over 18's,KCL CARE LTD,NG8 6FS,520-Community Care,771.7500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589041,G-C & A - Over 18's,KCL CARE LTD,NG8 6FS,520-Community Care,590.6200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589041,G-C & A - Over 18's,KCL CARE LTD,NG8 6FS,520-Community Care,441.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589042,C-Commercial and Operations,KING RAMPS LTD,WD6 2JT,475-Other Services,550.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589043,F-C & A - Central,KISIMUL GROUP LTD,LN6 9LU,516-Payts-Ext Foster Parents,19840.1700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,CHAPS,V-Central Items,LEGAL & GENERAL IM STERLING LIQUIDITY FUND,,981-Short Term Investments,2000000.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589044,F-C & A - Central,LESLEY LYON ASSOCIATES,NG7 1BZ,141-Assoc. Fees Non Payroll,1500.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589044,F-C & A - Central,LESLEY LYON ASSOCIATES,NG7 1BZ,141-Assoc. Fees Non Payroll,375.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589046,G-C & A - Over 18's,LIFE CIC,NG6 9AL,520-Community Care,431.0400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589046,G-C & A - Over 18's,LIFE CIC,NG6 9AL,520-Community Care,502.8800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589047,C-Commercial and Operations,MAGENTA (UK) LTD,DE7 8YA,408-Materials General,54.6300000000
