Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Forwarding Address 1,Forwarding Address 2,Forwarding Address 3,Forwarding Address 4,Forwarding Postcode,Rateable Value 2010,Property Description,Empty,Empty From,Charity,Disc,Mand,SBRR
14265594659601,,,01.01.2015                                               ,UNIT 15 HARP INDUSTRIAL ESTATE  ,                                ,QUEENSWAY                          ,ROCHDALE                           ,                                ,                                ,OL11 2PU,,,,,,2700,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
21303400020056,,,26.06.2006                                               ,GND FLR                         ,                                ,18 LANGLEY LANE                    ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 5LH ,,,,,,5300,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
21402300380371,,,08.12.2015                                               ,UNIT 6                          ,                                ,LONG STREET                        ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 6TE ,,,,,,10500,SHOP AND PREMISES                                           ,Y    ,08.12.2015                                               , ,0,0, 
15561700407076,,,01.06.2015                                               ,UNIT D7                         ,                                ,FIELDHOUSE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0AA,,,,,,28000,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,
20984592448765,,,05.01.2015                                               ,UNIT 18                         ,                                ,HANSON CLOSE                       ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2HD ,,,,,,2075,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
15800800290059,,,01.07.2015                                               ,                                ,                                ,1ST & 2ND FLRS                     ,73 YORKSHIRE STREET                ,ROCHDALE                        ,                                ,OL16 1DB,,,,,,4800,Offices and Premises                                        ,     ,                                                         , ,0,0,Y
5039111405169X     ,,,01.04.2005                                               ,                                ,                                ,81 DALE STREET                     ,MILNROW                            ,ROCHDALE                        ,LANCASHIRE                      ,OL16 3NJ,,,,,,6300,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
13298x91177447     ,,,10.03.2008                                               ,GND FLR 746                     ,                                ,MANCHESTER ROAD                    ,CASTLETON                          ,ROCHDALE                        ,LANCASHIRE                      ,OL11 3AQ,,,,,,4900,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
132955018500XB     ,,,28.03.2016                                               ,                                ,                                ,823 MANCHESTER ROAD                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3AH,,,,,,4800,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
30856499154754,,,25.04.2015                                               ,N3221 1341                      ,                                ,UNIT 4A HEYWOOD MAGIC MARKET       ,HARTLEY STREET                     ,HEYWOOD                         ,LANCASHIRE                      ,OL10 1LW,,,,,,2050,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
209845002000X7     ,,,01.04.2005                                               ,UNIT 20 HANSON CLOSE            ,                                ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 2HD ,,,,,,2100,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
21708400460025,,,01.04.2005                                               ,                                ,                                ,289A OLDHAM ROAD                   ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2DW ,,,,,,5300,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
3123480001008B     ,,,01.04.2005                                               ,GALE STREET GARAGE              ,                                ,MASON STREET                       ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4QQ,,,,,,4800,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0,Y
15800800930033,,,08.11.2011                                               ,CITROEN HOUSE                   ,                                ,YORKSHIRE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2DT,,,,,,41500,CAR SHOWROOM AND PREMISES                                   ,     ,                                                         , ,0,0,
11531296584979,,,01.10.2013                                               ,                                ,                                ,1ST FLR DRAKE STREET               ,135,ROCHDALE                        ,                                ,OL16 1PN,,,,,,3700,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
11534798556885,,,14.12.2014                                               ,                                ,                                ,140A DRAKE STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1PS,,,,,,4250,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
13295501970098,,,16.12.2005                                               ,                                ,                                ,883 MANCHESTER ROAD                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2ST,,,,,,0,BUILDING UNDERGOING RENOVATION                              ,Y    ,16.12.2005                                               , ,0,0, 
31666X91647162     ,,,30.10.2012                                               ,UNIT 4 ROE ACRE BUSINESS PARK   ,                                ,BRADSHAW STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1PN,,,,,,15750,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
13937X0231004A     ,,,22.04.2014                                               ,                                ,                                ,513A OLDHAM ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 4SP,,,,,,2950,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
15362000060044,,,10.08.2015                                               ,                                ,                                ,14 THE WALK                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1EP,,,,,,6400,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
10058X0014006B     ,,,01.08.2015                                               ,                                ,                                ,UNIT 13A                           ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                        ,                                ,OL11 4JB,,,,,,4950,Workshop and Premises                                       ,     ,                                                         , ,0,0,Y
4029260033006B     ,,,14.03.2016                                               ,                                ,                                ,76 CHURCH STREET                   ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 8AU,,,,,,5400,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
11531299428727,,,23.07.2005                                               ,                                ,                                ,1ST FLR 55                         ,DRAKE STREET                       ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1RX,,,,,,3100,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
20829600400094,,,30.06.2012                                               ,S0460 1341 OFFICE               ,                                ,4 MIDWAY HOUSE                     ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1AG ,,,,,,9000,OFFICES AND PREMISES                                        ,Y    ,30.06.2012                                               , ,0,0, 
