Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Forwarding Address 1,Forwarding Address 2,Forwarding Address 3,Forwarding Address 4,Forwarding Postcode,Rateable Value 2010,Property Description,Empty,Empty From,Charity,Disc,Mand,SBRR
31527921854001,P & H CONTRACT SERVICES LTD     ,                                ,17.10.2014                                               ,UNIT B11 BROADLANDS             ,                                ,HEYWOOD DISTRIBUTION PARK          ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2TA,                                   ,                                   ,                                ,                                ,        ,224000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
31388292086122,P & L PROPERTY INVESTMENT LTD   ,                                ,13.11.2015                                               ,FOXDENTON AUTOS BIRCH GARAGE    ,                                ,MANCHESTER ROAD                    ,HEYWOOD                            ,                                ,                                ,OL10 2QD,C/O GRMS LIMITED                   ,PRINCE OF WALES HOUSE              ,18-19 SALMON FIELDS BUSINESS VIL,"ROYTON, OLDHAM                  ",OL2 6HT ,16250,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,Y    ,13.11.2015                                               , ,0,0,
11273991916899,P & M AVIATION LTD              ,                                ,01.04.2005                                               ,UNIT B                          ,                                ,CRAWFORD STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5NU,ELM TREE PARK                      ,MANTON                             ,MARLBOROUGH                     ,WILTSHIRE                       ,SN8 1PS ,34500,WORKSHOP AND PREMISES                                       ,Y    ,01.04.2016                                               , ,0,0,
10790795425401,P CASEY & CO LTD                ,                                ,01.04.2005                                               ,GND FLOOR                       ,                                ,120 BUCKLEY ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9DL,RYDINGS ROAD                       ,ROCHDALE                           ,                                ,                                ,OL12 9PS,7100,STORES AND PREMISES                                         ,     ,                                                         , ,0,0, 
10790791769328,P CASEY & CO LTD                ,                                ,01.04.2005                                               ,                                ,                                ,1ST FLR BUCKLEY ROAD               ,120,ROCHDALE                        ,LANCASHIRE                      ,OL12 9DL,RYDINGS ROAD                       ,ROCHDALE                           ,                                ,                                ,OL12 9PS,6400,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1078799915381B     ,P CASEY & CO LTD                ,                                ,01.04.2005                                               ,                                ,                                ,121 BUCKLEY ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9DL,RYDINGS ROAD                       ,WARDLE                             ,ROCHDALE LANCASHIRE             ,                                ,OL12 9PS,10250,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
60442600010081,P CASEY & CO LTD                ,                                ,01.04.2005                                               ,RYDINGS MILL                    ,                                ,RYDINGS ROAD                       ,WARDLE                             ,ROCHDALE                        ,LANCASHIRE                      ,OL12 9PR,RYDINGS MILL                       ,RYDINGS ROAD                       ,WARDLE                          ,ROCHDALE LANCASHIRE             ,OL12 9PR,82500,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,
14555X00990073     ,P CASEY & CO LTD                ,                                ,20.09.2012                                               ,CORRIDGE LTD                    ,                                ,RUGBY ROAD                         ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0DY,RYDINGS ROAD                       ,WARDLE                             ,ROCHDALE                        ,                                ,OL12 9PS,13750,FACTORY AND PREMISES                                        ,     ,                                                         , ,0,0,
14351297804666,P CASEY ENVIRO LTD              ,                                ,01.04.2005                                               ,REGENT STREET TRANSFER STATION  ,                                ,REGENT STREET                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HQ,RYDINGS ROAD                       ,ROCHDALE LANCASHIRE                ,                                ,                                ,OL12 9PS,29250,WASTE TRANSFER STATION AND PREMISES                         ,     ,                                                         , ,0,0,
14351298961554,P CASEY ENVIRO LTD              ,                                ,01.04.2005                                               ,WASTE TRANSFER STATION AT       ,                                ,REGENT STREET                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 6AE,RYDINGS ROAD                       ,ROCHDALE LANCASHIRE                ,                                ,                                ,OL12 9PS,45750,WASTE TRANSFER STATION AND PREMISES                         ,     ,                                                         , ,0,0,
21162499155045,P MCGARRY & SON LTD             ,                                ,01.04.2005                                               ,UNIT 3 &                        ,                                ,4 JOHN LEE FOLD                    ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2LR ,UNIT 3 &                           ,4 JOHN LEE FOLD                    ,MIDDLETON                       ,MANCHESTER                      ,M24 2LR ,13750,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
502835002000X1     ,P N DALY LTD                    ,                                ,01.04.2005                                               ,BUTTERWORTH HALL                ,                                ,CHARLES LANE                       ,MILNROW                            ,ROCHDALE                        ,LANCASHIRE                      ,OL16 3AA,BUTTERWORTH HALL                   ,CHARLES LANE                       ,MILNROW                         ,ROCHDALE LANCASHIRE             ,OL16 3AA,72500,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,
2000616576909B     ,P R PANELS LTD                  ,                                ,12.08.2014                                               ,UNIT 10 MIDDLETON CENTRAL IND   ,EST                             ,OLDHAM ROAD                        ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1AZ ,UNIT 10 MIDDLETON TRADE PARK       ,OLDHAM ROAD                        ,MIDDLEETON                      ,MANCHESTER                      ,M24 1QZ ,12000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
30763895544332,P ROSS ACCOUNTANTS LTD          ,                                ,15.04.2013                                               ,                                ,                                ,OFFICE 5 AT HERITAGE HOUSE         ,165 GREEN LANE                     ,HEYWOOD                         ,LANCASHIRE                      ,OL10 2EN,5 MARLOW ROAD                      ,BLACKLEY                           ,MANCHESTER                      ,                                ,M9 4EG  ,3000,Offices and Premises                                        ,     ,                                                         , ,0,0,Y
50943495153706,P W GREENHALGH & CO LTD         ,                                ,01.04.2005                                               ,P W GREENHALGH & CO LTD         ,                                ,OGDEN LANE                         ,MILNROW                            ,ROCHDALE                        ,                                ,OL16 3TH,FAO MR MOORE                       ,OGDEN LANE                         ,MILNROW                         ,ROCHDALE LANCASHIRE             ,OL16 3TH,234000,FACTORY AND PREMISES                                        ,     ,                                                         , ,0,0,
50943494127059,P W GREENHALGH & CO LTD         ,                                ,18.05.2014                                               ,                                ,                                ,LLOYD FRASER LOGISTICS             ,OGDEN LANE                         ,MILNROW                         ,ROCHDALE                        ,OL16 3TH,FAO MR MOORE                       ,OGDEN LANE                         ,MILNROW                         ,ROCHDALE                        ,OL16 3TH,43000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
15671X00161202     ,PAC CONTRACTS LTD               ,                                ,08.04.2016                                               ,UNIT 12                         ,                                ,CANAL SIDE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,32 RIVERSTONE BRIDGE               ,HOLLINGWORTH PARK                  ,LITTLEBOROUGH                   ,                                ,OL15 8JF,5000,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
31486696830534,PAD PRINTERS LIMITED            ,                                ,08.08.2013                                               ,                                ,                                ,FRONT PARK WORKS                   ,RIVER STREET                       ,HEYWOOD                         ,LANCASHIRE                      ,OL10 4AB,                                   ,                                   ,                                ,                                ,        ,44500,Workshop and Premises                                       ,     ,                                                         , ,0,0,
14340092077563,PAK WATAN CARGO LTD             ,                                ,01.03.2012                                               ,CALDERSHAW CENTRE UNIT 17       ,                                ,ROOLEY MOOR ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7EG,                                   ,                                   ,                                ,                                ,        ,6700,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y
13716693143405,PAKEEZA DAIRIES LIMITED         ,                                ,01.04.2010                                               ,KINGSWAY WEST BUSINESS PARK     ,                                ,UNIT 3B MOSS BRIDGE ROAD           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LW,KINGSWAY WEST BUSINESS PARK        ,UNIT 3B MOSS BRIDGE ROAD           ,ROCHDALE LANCASHIRE             ,                                ,OL16 5LW,64000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
13716650104334,PAKEEZA DAIRIES LIMITED         ,                                ,12.03.2014                                               ,K/A D2 TYGAVAC ADVANCED         ,MATERIALS LTD                   ,KINGSWAY WEST BUSINESS PARK        ,MOSS BRIDGE ROAD                   ,ROCHDALE                        ,LANCASHIRE                      ,OL16 5LX,KINGSWAY WEST BUSINESS PARK        ,UNIT 3B MOSS BRIDGE ROAD           ,ROCHDALE LANCASHIRE             ,                                ,OL16 5LW,140000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
11273995809536,PAKISTAN PROPERTY SERVICE LTD   ,                                ,01.02.2015                                               ,UNIT 2B                         ,                                ,MK BUSINESS PARK                   ,CRAWFORD STREET                    ,ROCHDALE                        ,                                ,OL16 5SA,                                   ,                                   ,                                ,                                ,        ,10750,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y
13163599158848,PAKISTAN WELFARE ASSOC          ,                                ,01.04.2005                                               ,                                ,                                ,10-12 LOWER TWEEDALE STREET        ,ROCHDALE                           ,                                ,                                ,OL11 1HG,10-Dec,LOWER TWEEDALE STREET              ,ROCHDALE                        ,                                ,OL11 1HG,1350,MEETING ROOM & PREMISES                                     ,     ,                                                         , ,0,0,Y
41480396816935,PAL SIPP P DAVIDSON & B DAVIDSON,                                ,14.08.2015                                               ,                                ,                                ,SLADEN MILL                        ,HALIFAX ROAD                       ,LANCASHIRE                      ,                                ,OL15 0LB,C/O JAMES HAY PARTNERSHIPS         ,DUNN'S HOSUE                       ,ST PAULS ROAD                   ,SALISBURY                       ,SP2 7BF ,78000,WORKSHOP AND PREMISES                                       ,Y    ,14.08.2015                                               , ,0,0,
40415100160098,PANACEA TELECOM LTD             ,                                ,19.10.2015                                               ,                                ,                                ,OFFICE 4 DUKE STREET BUSINESS      ,CENTRE                             ,DUKE STREET                     ,LITTLEBOROUGH                   ,OL15 8DL,OFFICE 4                           ,DUKE STREET BUSINESS CENTRE        ,DUKE STREET                     ,LITTLEBOROUGH                   ,OL16 8DL,3250,Offices and Premises                                        ,     ,                                                         , ,0,0,Y
10790700300044,PANELCARE (ROCHDALE) LIMITED    ,                                ,01.12.2008                                               ,UNIT 11                         ,                                ,BUCKLEY HALL INDUSTRIAL ESTATE     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9EF,UNIT 11                            ,BUCKLEY HALL INDUSTRIAL ESTATE     ,BUCKLEY                         ,ROCHDALE                        ,OL12 9EF,9900,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
32122495844726,PANNTRANS LTD                   ,                                ,01.02.2014                                               ,                                ,                                ,UNIT L1 BIRCH INDUSTRIAL ESTATE    ,WHITTLE LANE                       ,HEYWOOD                         ,                                ,OL10 2SZ,UNIT 1 REAR OF 60                  ,GREAT NORBURY STREET               ,HYDE                            ,CHESHIRE                        ,SK14 1HY,6500,Land Used for Storage and Premises                          ,     ,                                                         , ,0,0,Y
21225400010084,PARADIS NOVO LTD                ,                                ,01.04.2011                                               ,HEATON MILL                     ,                                ,KING STREET                        ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 3BL ,HEATON MILL                        ,SPRING GARDENS                     ,MIDDLETON                       ,MANCHESTER                      ,M24 6DQ ,10750,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y
14340092021240,PARAMOUNT WINDOWS & DOORS LTD   ,                                ,01.11.2015                                               ,                                ,                                ,UNIT 24 CALDERSHAW BUSINESS CENTRE ,ROOLEY MOOR ROAD                   ,ROCHDALE                        ,                                ,OL12 7EG,17 BRONTE CLOSE                    ,NORDEN                             ,ROCHDALE                        ,                                ,OL12 7PY,6700,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y
31527995668059,PARCEL DEN ONLINE LIMITED       ,                                ,09.06.2015                                               ,UNIT B12D BROADLANDS            ,                                ,HEYWOOD DISTRIBUTION PARK          ,HEYWOOD                            ,LANCS                           ,                                ,OL10 2TS,                                   ,                                   ,                                ,                                ,        ,16000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
21003200160099,PARKFIELD PRIMARY SCHOOL        ,                                ,01.04.2005                                               ,PARKFIELD PRIMARY SCHOOL        ,                                ,HAROLD STREET                      ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 4AF ,PARKFIELD PRIMARY SCHOOL           ,HAROLD STREET                      ,MIDDLETON                       ,MANCHESTER                      ,M24 4AF ,33500,SCHOOL AND PREMISES                                         ,     ,                                                         , ,0,0,
12641X99739741     ,PARKHILLS HIRE LTD              ,                                ,09.09.2013                                               ,                                ,                                ,PARKHILLS HIRE                     ,HOWARD STREET                      ,ROCHDALE                        ,                                ,OL12 0LU,128-130 WHITWORTH ROAD             ,ROCHDALE                           ,                                ,                                ,OL12 0JG,7900,Workshop and Premises                                       ,     ,                                                         , ,0,0,Y
14531799189803,PARKS OF HAMILTON (COACH HIRERS),LTD                             ,01.07.2009                                               ,TRATHENS TRAVEL SERVICES LTD    ,                                ,ROYLE WORKS                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3ET,                                   ,                                   ,                                ,                                ,        ,14000,LAND USED FOR STORAGE AND PREMISES                          ,     ,                                                         , ,0,0,
30766299188782,PARTNERS IN PACKAGING MACHINE   ,SYSTEMS LTD                     ,01.04.2011                                               ,                                ,                                ,7 SOUTHGATE GREEN LANE             ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1ND,                                   ,                                   ,                                ,                                ,        ,7900,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y
15523099149529,PARTNERS THE STATIONERS LTD     ,                                ,01.04.2005                                               ,(SU8)                           ,                                ,UNIT 8 THE WHEATSHEAF CENTRE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JY,SAVOY ROAD                         ,OFF WESTON ROAD                    ,CREWE CHESHIRE                  ,                                ,CW1 6NA ,30500,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,
13118900030024,PAUL CHEETAM OPTICAL LTD        ,                                ,01.04.2016                                               ,                                ,                                ,4 LORD SQUARE                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1ED,                                   ,                                   ,                                ,                                ,        ,17250,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,
31527962659602,PAUL HARTMANN LTD               ,                                ,01.04.2005                                               ,UNIT P2 PARKLANDS               ,                                ,HEYWOOD DISTRIBUTION PARK          ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2TT,UNIT P2 PARKLANDS                  ,HEYWOOD DISTRIBUTION PARK          ,HEYWOOD LANCASHIRE              ,                                ,OL10 2TT,480000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
5039119916560A     ,PAUL HEALEY T/A HEALEY          ,CONSULTING                      ,01.04.2005                                               ,1ST AND 2ND FLRS                ,                                ,63 DALE STREET                     ,MILNROW                            ,ROCHDALE                        ,LANCASHIRE                      ,OL16 3NJ,DALE STREET                        ,MILNROW                            ,ROCHDALE LANCASHIRE             ,                                ,OL16 3NJ,5100,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
51042500013652,PAUL LEEMARK FINANCE LTD        ,                                ,13.11.2015                                               ,                                ,                                ,1ST FLR 1 SHAW ROAD                ,MILNROW                            ,ROCHDALE                        ,                                ,OL16 4LU,                                   ,                                   ,                                ,                                ,        ,4100,Offices and Premises                                        ,     ,                                                         , ,0,0,Y
12908700650041,PAUL PRICE CAR SALES (KINGSWAY) ,LTD                             ,01.04.2005                                               ,                                ,                                ,311 KINGSWAY                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5BX,311 KINGSWAY                       ,ROCHDALE                           ,                                ,                                ,OL16 5BX,18750,LAND USED FOR CAR SALES AND PREMISES                        ,     ,                                                         , ,0,0,
1310080003002A     ,PAUL SMITH & C0 PLUMBING &      ,BUILDING SERVICES LTD           ,01.07.2006                                               ,J BUTTERWORTH                   ,                                ,LOMAX STREET                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0JR,J BUTTERWORTH                      ,LOMAX STREET                       ,ROCHDALE LANCASHIRE             ,                                ,OL12 0JR,7200,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y
31315299173946,PAUL TAYLOR CABINET MAKERS LTD  ,                                ,10.05.2013                                               ,UNIT 4 SPRING MILL              ,                                ,MOOR STREET                        ,HEYWOOD                            ,                                ,                                ,OL10 3DD,                                   ,                                   ,                                ,                                ,        ,9300,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
14351200050076,PCT GROUP LTD (MATTERSONS       ,CRANES)                         ,01.04.2005                                               ,                                ,                                ,45 REGENT STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HQ,DALSETTER HOUSE                    ,37 DALSETTER AVENUE                ,GLASGOW                         ,                                ,G15 8TE ,16500,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
11523099154314,PEACOCKS STORES LTD             ,                                ,23.02.2012                                               ,UNIT 10                         ,                                ,THE WHEATSHEAF CENTRE              ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JY,F.A.O ACCOUNTS PAYABLE             ,CAPITAL LINK                       ,WINDSOR ROAD                    ,CARDIFF                         ,CF24 5NG,73500,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,
20103591145802,PEACOCKS STORES LTD             ,                                ,22.02.2012                                               ,UNIT 1.2                        ,                                ,MIDDLETON SHOPPING CENTRE          ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 4EL ,F.A.O ACCOUNTS PAYABLE             ,CAPITAL LINK                       ,WINDSOR ROAD                    ,CARDIFF                         ,CF24 5NG,108000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,
21039897962760,PEARL GREY LTD                  ,                                ,25.03.2015                                               ,UNIT 1C BIRCH MILL              ,                                ,HEYWOOD OLD ROAD                   ,HEYWOOD                            ,LANCS                           ,                                ,OL10 2QQ,41 KNOWSLEY STREET                 ,BURY                               ,                                ,                                ,BL9 0ST ,1900,Workshop and Premises                                       ,     ,                                                         , ,0,0,Y
2146850102001B     ,PEARL TRADING UK LTD            ,                                ,07.01.2008                                               ,                                ,                                ,717-719 MANCHESTER                 ,OLD ROAD                           ,MIDDLETON                       ,MANCHESTER                      ,M24 4GF ,                                   ,                                   ,                                ,                                ,        ,8000,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
3223690037005B     ,PEARSON FERRIER HEYWOOD LTD     ,                                ,07.12.2015                                               ,                                ,                                ,69 YORK STREET                     ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4NR,435-437 WALMERSLEY ROAD            ,BURY                               ,                                ,                                ,BL9 5EU ,5300,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
21402399158017,PEARSON FERRIER MIDDLETON       ,LTD                             ,01.12.2015                                               ,                                ,                                ,58 LONG STREET                     ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 5QU ,                                   ,                                   ,                                ,                                ,        ,10500,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
30241400400097,PEEL GRAPHICS LTD               ,                                ,01.04.2005                                               ,                                ,                                ,104-106 BRIDGE STREET              ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JG,104-106                            ,BRIDGE STREET                      ,HEYWOOD LANCASHIRE              ,                                ,OL10 1JG,8000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
20946X99176318     ,PEEL WASTE LTD                  ,                                ,07.01.2011                                               ,PEEL WASTE LTD                  ,                                ,GRIMSHAW LANE                      ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2HF ,                                   ,                                   ,                                ,                                ,        ,13250,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
40667X0029004B     ,PENNINE ACCOUNTING LTD          ,                                ,01.04.2015                                               ,                                ,                                ,OFFICE 1 AT 33                     ,HARE HILL ROAD                     ,LITTLEBOROUGH                   ,                                ,OL15 9AD,                                   ,                                   ,                                ,                                ,        ,2375,Office                                                      ,     ,                                                         , ,0,0,Y
15257999153333,PENNINE CARE NHS FOUNDATION     ,TRUST                           ,01.04.2013                                               ,RAHA                            ,                                ,TURF HILL ROAD                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 4XA,FINANCE DEPT                       ,225 OLD STREET                     ,ASHTON-UNDER-LYNE               ,                                ,OL6 7SR ,4100,HEALTH CENTRE AND PREMISES                                  ,     ,                                                         , ,0,0, 
14598999147033,PENNINE CARE NHS FOUNDATION     ,TRUST                           ,01.11.2013                                               ,UNIT 14 ST CHADS COURT          ,                                ,SCHOOL LANE                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1QU,225 OLD STREET                     ,ASHTON-UNDER-LYNE                  ,                                ,                                ,OL6 7SR ,12750,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,
21708496336655,PENNINE CARE NHS FOUNDATION     ,TRUST                           ,22.10.2014                                               ,                                ,                                ,2ND & 3RD FLOORS BROOK HOUSE       ,OLDHAM ROAD                        ,MIDDLETON                       ,MANCHESTER                      ,M24 1AY ,225 OLD STREET                     ,ASHTON-UNDER-LYNE                  ,                                ,                                ,OL6 7SR ,59000,Offices and Premises                                        ,     ,                                                         , ,0,0,
20694999153342,PENNINE CARE NHS FOUNDATION     ,TRUST                           ,01.04.2014                                               ,DURNFORD STREET CLINIC          ,                                ,2-6 DURNFORD STREET                ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 5UD ,FINANCE DEPT                       ,225 OLD STREET                     ,ASHTON UNDER LYNE               ,                                ,OL6 7SR ,6500,HEALTH CENTRE AND PREMISES                                  ,     ,                                                         , ,0,0, 
14598996754321,PENNINE CARE NHS TRUST          ,                                ,01.04.2010                                               ,                                ,                                ,"UNITS 11, 12 & 13 ST CHADS COURT   ",SCHOOL LANE                        ,ROCHDALE                        ,                                ,OL16 1QU,225 OLD STREET                     ,ASHTON-UNDER-LYNE                  ,                                ,                                ,OL6 7SR ,37250,Offices and Premises                                        ,     ,                                                         , ,0,0,
30766200650047,PENNINE CARE NHS TRUST          ,                                ,01.04.2013                                               ,CALLAGHAN HOUSE                 ,                                ,GREEN LANE                         ,HEYWOOD                            ,LANCS                           ,                                ,OL10 2DY,FINANCE DEPARTMENT                 ,225 OLD STREET                     ,ASHTON UNDER LYNE               ,                                ,OL6 7SR ,79000,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,
15542496073650,PENNINE CARE NHS TRUST          ,                                ,01.04.2013                                               ,GP WALK IN CENTRE AND DENTAL    ,                                ,ACCESS CENTRE WHITEHALL STREET     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0NB,225 OLD STREET                     ,ASHTON UNDER LYNE                  ,                                ,                                ,OL6 7SR ,16750,HEALTH CENTRE AND PREMISES                                  ,     ,                                                         , ,0,0,
12602600020055,PENNINE DRILLING & GROUTING     ,SERVICES LTD                    ,01.04.2005                                               ,PENNINE DRILLING & GROUTING     ,                                ,HOLMES ROAD                        ,ROCHDALE                           ,LANCS                           ,                                ,OL12 6AG,HOLMES ROAD                        ,ROCHDALE LANCASHIRE                ,                                ,                                ,OL12 6AQ,24250,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,
21708400480071,PENNINE ESTATES LLP             ,                                ,25.11.2011                                               ,                                ,                                ,323 OLDHAM ROAD                    ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2DN ,                                   ,                                   ,                                ,                                ,        ,6000,"SHOP, STORE AND PREMISES                                    ",     ,                                                         , ,0,0,Y
30763899146353,PENNINE FLOORING SUPPLIES LTD   ,                                ,09.12.2005                                               ,UNIT 306                        ,                                ,PHOENIX INDUSTRIAL PARK            ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2EW,UNIT 303                           ,PHOENIX CLOSE                      ,HEYWOOD LANCASHIRE              ,                                ,OL10 2JG,21250,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,
30763877079834,PENNINE FLOORING SUPPLIES LTD   ,                                ,01.04.2005                                               ,UNIT 301 AND                    ,                                ,303 PHOENIX INDUSTRIAL PARK        ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2JG,UNIT 303                           ,PHOENIX CLOSE                      ,HEYWOOD LANCASHIRE              ,                                ,OL10 2JG,45750,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
41642290384957,PENNINE PANTO PLAYERS           ,                                ,01.09.2014                                               ,                                ,                                ,UNIT B1 STORE 1                    ,SLADEN WOOD MILL                   ,TODMORDEN ROAD                  ,LITTLEBOROUGH                   ,OL15 9EW,C/O DEBBIE BROGDEN                 ,10 SANDBANK COTTAGES               ,COCKHALL LANE                   ,WHITWORTH                       ,OL12 8BQ,360,Store and Premises                                          ,     ,                                                         , ,0,0, 
41642298276738,PENNINE PANTO PLAYERS           ,                                ,01.09.2014                                               ,                                ,                                ,UNIT B1 STORE 2                    ,SLADEN WOOD MILL                   ,TODMORDEN ROAD                  ,LITTLEBOROUGH                   ,OL15 9EW,C/O DEBBIE BROGDEN                 ,10 SANDBANK COTTAGES               ,COCKHALL LANE                   ,WHITWORTH                       ,OL12 8BQ,390,Store and Premises                                          ,     ,                                                         , ,0,0,Y
11534793876075,PENNINE SOLICITORS LTD          ,                                ,01.03.2008                                               ,                                ,                                ,136 DRAKE STREET                   ,ROCHDALE                           ,                                ,                                ,OL16 1PS,GND FLR                            ,136 DRAKE STREET                   ,ROCHDALE LANCASHIRE             ,                                ,OL16 1PS,4800,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
2186176843919B     ,PENNY PETROLEUM (ST HELENS) LTD ,                                ,28.08.2011                                               ,HOPWOOD SERVICE STATION         ,                                ,ROCHDALE ROAD                      ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2RA ,THE OLD STATION HOUSE              ,HEDGLEY SERVICES                   ,POWBURN                         ,ALNWICK                         ,NE66 4HU,12000,PETROL FILLING STATION AND PREMISES                         ,     ,                                                         , ,0,0,
10787992192820,PENTHOUSE CARPETS LTD           ,                                ,01.04.2005                                               ,PENTHOUSE CARPETS               ,                                ,BUCKLEY ROAD                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9DJ,PENTHOUSE CARPETS                  ,BUCKLEY ROAD                       ,ROCHDALE LANCASHIRE             ,                                ,OL12 9DJ,280000,FACTORY AND PREMISES                                        ,     ,                                                         , ,0,0,
31081692627920,PER-FIT WINDOWS LTD             ,                                ,14.04.2010                                               ,UNITS 1-2                       ,                                ,LANGTON STREET                     ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4LH,UNIT 1                             ,LANGTON STREET                     ,HEYWOOD                         ,                                ,OL10 4LH,22750,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,
31621791645183,PER-FIT WINDOWS LTD             ,                                ,01.10.2012                                               ,UNIT 1B                         ,                                ,RIVER STREET                       ,HEYWOOD                            ,LANCS                           ,                                ,OL10 4AB,UNIT 1                             ,LANGTON STREET                     ,HEYWOOD                         ,                                ,OL10 4LH,2150,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
