Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
Setbray Properties Ltd,"Unit 2 Waterside Buildings, Valley Road, Hebden Bridge, HX7 7BZ",76552741,"Suites 1&4 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",1375,Store And Premises,Qualifying industrial hereditament
Rouse Homes Limited,"Coley Nurseries, Denholmegate Road, Hipperholme, Halifax             HX3 8HX",64812708,"8 Carr Crofts Drive, Armley, Leeds, LS12 3AL",80000,Garden Centre And Premises,Listed Building
,"Kent House, 16 Bull Close Lane, Halifax, HX1 2EF",64432701,,3950,Surgery And Premises,Empty Relief - Post 01/04/2008
,"23 Square Road, Halifax, HX1 1QG",68708023,,8500,Showroom And Premises,Empty Relief - Post 01/04/2008
Simms Electrical Distributors Ltd (In Liquidation),"Unit 10 Miall Street Mills, Miall Street, Halifax, HX1 4AE",65788720,"C/O Lee & Co, Photon House, Percy Street, Leeds, LS12 1EG",6300,Warehouse And Premises,Bankrupt / Liquidation / Winding Up Order
,"5-7 Central Street, Halifax, HX1 1HU",64524708,,25000,Restaurant and Premises,Empty Relief - Post 01/04/2008
The Trustees Of B E Holmes Settlement Trust,"Car Parking Space No 14, John Street, Halifax, HX1 1YA",64400739,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,Car Parking Space,Rateable Value below threshold
Stove Enamellers Ltd,"Sherwood Road, Brighouse, HD6 1QG",29508704,"Sherwood Road, Brighouse, HD6 1QG",13750,Workshop And Premises,Qualifying industrial hereditament
Cromwell Industries Ltd,"Office No T04, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",29236810,"Cromwell House, Elland Road, Brighouse, HD6 2RG",1200,Offices and Premises,Empty Property - RV < 15000
,"Office 4G Premier House, Holmes Road, Sowerby Bridge, HX6 3LD",77284749,,1350,Offices and Premises,Rateable Value below threshold
,"8 Bull Green, Halifax, HX1 5AB",64436803,,13750,Public House And Premises,Empty Relief - Post 01/04/2008
C2 (General Partner Two) Lp,"Unit 4, Victoria Park, Lightowler Road, Halifax              HX1 5ND",65626705,"C/O Ryden Llp, Carlton Tower, 34 St Paul's Street, Leeds, LS1 2QB",6500,Warehouse And Premises,Qualifying industrial hereditament
Oakwood Development (Holdings) Ltd In Administration,"Part First Floor, I E S House, Mission Street, Brighouse            HD6 1NQ",29428701,"Moorfields, 88 Wood Street, London, EC2V 7QF",10000,Offices and Premises,Bankrupt / Liquidation / Winding Up Order
Blackshaw Holdings Ltd,"Unit 9 Station Ind Estate, Old Station Road, Luddendenfoot, Halifax              HX2 6AD",68144714,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",7400,Workshop And Premises,Qualifying industrial hereditament
,"Unit 2 Woodvale Mills, Woodvale Road, Brighouse, HD6 4AB",29656754,,22250,Warehouse And Premises,Qualifying industrial hereditament
