Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
Town Hall Dental Ltd,"Room 2, Town Hall, Thornton Square, Brighouse           HD6 1ED",29576705,"Thornton Square, Brighouse, HD6 1ED",1925,Offices and Premises,Rateable Value below threshold
Qc Supplies Retirement Benefit Scheme,"Unit 1 Quarry Court (Empty), Beacon Hill Road, Halifax, HX3 6AQ",64184709,"Unit 1 Quarry Court, Beacon Hill Road, Halifax, HX3 6AQ",66000,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"1a St James Street, Halifax, HX1 5SU",68736701,,2300,Hairdressing Salon and Premises,Rateable Value below threshold
Setbray Properties Ltd,"(Unoff Add)Suite 2 1ST Floor, Unit 8 Pennine Ind Park, Valley Road, Hebden Bridge        HX7 7BZ",76552758,"Suites 1&4 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",21500,Offices and Premises,Empty Relief - Post 01/04/2008
Setbray Properties Ltd,"Suite 4 2ND Flr Unauth Add, Unit 8 Pennine Ind Park, Valley Road, Hebden Bridge        HX7 7BZ",76552757,"Suites 1&4 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",6800,Offices and Premises,Empty Relief - Post 01/04/2008
Ppc Uk Ltd (In Administration),"Ground Floor, Unit 1B Dunkirk Mills, Dunkirk Lane, Halifax              HX1 3TA",64852702,"Leonard Curtis, Business Rescue & Recovery, 5 Albion Court, Leeds, LS1 6JL",1925,Warehouse And Premises,Rateable Value below threshold
Ppc Uk Ltd (In Administration),"Unit 1A 2ND Floor, Dunkirk Mills, Dunkirk Lane, Halifax              HX1 3TA",64852700,"Leonard Curtis, Business Rescue & Recovery, 5 Albion Court, Leeds, LS1 6JL",1700,Warehouse And Premises,Rateable Value below threshold
,"Redacre, Red Acre Lane, Mytholmroyd, Hebden Bridge        HX7 5DQ",76436700,,1875,Workshop And Premises,Empty Property - RV < 15000
Westfield Properties Ltd,"Unit 2A, Calder Workshops, Halifax, HX1 4JQ",65164803,"2 Stansfield Road, Todmorden, Lancs, OL14 5DL",1900,Store And Premises,Empty Property - RV < 15000
,"Second Floor, 18 Silver Street, Halifax, HX1 1HS",68580713,,9500,Offices and Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Units 7-8, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",29124715,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",15000,Warehouse And Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite D255, Dean Clough, Halifax, HX3 5AX",64784895,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",14000,Offices and Premises,Listed Building
Dean Clough Ltd,"Office Suite D170, Dean Clough Office Park, Halifax, HX3 5AX",64788761,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",1475,Office,Rateable Value below threshold
Kino & Co,"Office H M 2.2, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344866,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",2800,Office,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unofficial Address, Unit 101A Victoria Works B P, Calder Street, Brighouse            HD6 1LZ",29124735,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",680,Office and Premises,Rateable Value below threshold
Roch Valley Homes Ltd,"Hrs Bldg & Joinery Serv Ltd, Unit 5 Hollins Mill, Rochdale Road, Todmorden           OL14 6SA",78400841,"2nd Floor, Hollins Mill, Walsden, Todmorden, OL14 6SA",3750,Store And Premises,Listed Building
Bizspace Ltd,"Unit 14C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628780,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1075,Workshop And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unofficial Address, Unit 4B Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",29124725,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",3150,Warehouse And Premises,Empty Relief - Post 01/04/2008
Sk Excel Ltd,"6 Rochdale Road, Todmorden, OL14 5AA",78400006,,8600,Bank And Premises,Empty Relief - Post 01/04/2008
Halifax Opportunities Trust,"Unit 1, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",65264729,"Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",2000,Workshop And Premises,Empty Property - RV < 15000
,"Office 22, 11 Owler Ings Road, Brighouse, HD6 1EJ",29452745,,2125,Offices and Premises,Empty Property - RV < 15000
F C F M Group Ltd,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276706,"295 Kings Road, London, SW3 5EP",1200,Offices and Premises,Listed Building
Warmco Space Heating Ltd,"Unit 6 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284734,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1025,Store And Premises,Rateable Value below threshold
,"Storage Containers, West Central Business Park, Victoria Road, Halifax              HX1 5QH",69196727,,1225,Store And Premises,Empty Property - RV < 15000
Units To Let [Northern] Ltd,"Unit 31 First Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS",77690712,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",720,Store And Premises,Empty Property - RV < 15000
Ramsdens Legal Services Ltd,"Unit 2, 99/101 Birds Royd Lane, Brighouse, HD6 1NG",29052764,"Oakley House, 1 Hungerford Road, Edgerton, Huddersfield, HD3 3AL",23750,Workshop And Premises,Empty Relief - Post 01/04/2008
W F A D Holdings Ltd,"Office Suite E342, Dean Clough Mills, Halifax, HX3 5AX",64778819,,4850,Office,Listed Building
Tilstone,"Unit 2 Pellon Lane Retail Pk, Pellon Lane, Halifax, HX1 5HQ",68236791,"C/O Savills Uk, 29 King Street, Leeds, LS1 2HL",17500,Retail Warehouse And Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unit 4, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420736,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2250,Store And Premises,Rateable Value below threshold
R S Investments Yorkshire Ltd,"Unit 3 L R P Business Park, Halifax Road, Hipperholme, Halifax              HX3 8EN",65232728,"Thornfield, Leeds Road, Hipperholme, HX3 8NH",1500,Workshop And Premises,Rateable Value below threshold
Enterprise Inns Plc,"Lush, 24A Fountain Street, Halifax, HX1 1LW",65100705,"Purchase Ledger Dept, 3 Monkspath Hall Road, Solihull, West Midlands, B90 4SJ",22750,Nightclub And Premises,Empty Relief - Post 01/04/2008
Trafford Management Ltd,"17 Bull Green, Halifax, HX1 2RZ",64436017,"Mr Mahboob, 46 Liverpool Road, Eccles, Manchester, M30 0WA",7000,Shop and Premises,Empty Relief - Post 01/04/2008
Nutclough Mill Ltd,"2 Crown Street, Hebden Bridge, HX7 8EH",76176710,"3 Richmond House, Caldene Business Park, Mytholmroyd, Hebden Bridge, HX7 5QJ",18750,Bank And Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Unit GY/6, Dean Clough Office Park, Halifax, HX3 5AX",64784835,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",1925,Workshop And Premises,Rateable Value below threshold
,"Wheatsheaf Hotel, 42 Mount Pellon, Pellon, Halifax             HX2 0EE",65876705,,6250,Public House and Premises,Empty Relief - Post 01/04/2008
Maramar Holdings Ltd,"(Unoff Add) The Gatehouse, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",64242782,"The Gatehouse, The Ridings Business Park, Hopwood Lane, Halifax, HX1 3TT",3950,Offices and Premises,Empty Relief - Post 01/04/2008
Blackshaw Holdings Ltd,"Office 4 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084823,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",2500,Office,Empty Property - RV < 15000
Warmco Space Heating Ltd,"'Unofficial' Unit 301 -302, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",29124742,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",3850,Offices and Premises,Empty Relief - Post 01/04/2008
Hird & Partners L L P,"10 Blackwall, Halifax, HX1 2BE",64268010,"2 King Street, Halifax, HX1 1SR",11500,Surgery And Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Bowling Mill Courtyard No 5, Dean Clough, Halifax, HX3 5AX",64885720,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",10250,Restaurant and Premises,Listed Building
Dean Clough Ltd,"Cafe At Design House, Dean Clough Mills, Halifax, HX3 5AX",64296745,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",20250,Cafe and Premises,Listed Building
Director Of Safer & Stronger Communities,"Between 52 And 53, Arcade, Piece Hall, Halifax             HX1 1RE",68252710,"Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",4450,Shop and Premises,Listed Building
Lister Horsfall Ltd,"6 Cheapside, Halifax, HX1 1TQ",64552006,"14 Corn Market, Halifax, HX1 1TH",11750,Shop and Premises,Empty Relief - Post 01/04/2008
Due West Ltd,"1ST Floor, 20/26 Commercial Street, Halifax, HX1 1TA",64660732,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",15500,Offices and Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"""Unauthorised Address"", Unit 12 River Street B/Pk, River Street, Brighouse            HD6 1NL",29492741,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2475,Store And Premises,Rateable Value below threshold
Deanhurst Garages Ltd,"St Giles Road, Lightcliffe, Halifax, HX3 8BG",68720700,"138 Carlinghow Lane, Batley, WF17 8DN",6000,Land Used For Storage and Premises,Unoccupied Land
Heathleigh Ltd,"Unit 11 Woodman Works, South Lane, Elland, HX5 0PA",56220803,"Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",9200,Warehouse And Premises,Qualifying industrial hereditament
Shaw Lodge Mills Ltd,"Pt B/Ment The Weaving Shed, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526727,"Reedham House, 31 King Street, Manchester, M3 2PJ",2600,Warehouse And Premises,Listed Building
The Wakefield Diocesan Board Of Education,"St Martins School, Church Lane, Brighouse, HD6 1AT",29156736,"Church House, 1 South Parade, Wakefield, WF1 1LP",20250,"Offices, Office And Premises",Listed Building
,"Wellness Centre, Central Hall, Oldham Road, Ripponden            HX6 4DN",77408769,,1075,Offices and Premises,Empty Property - RV < 15000
Eclipse Property (HFX1) Limited,"King Cross Road, Halifax, HX1 3JL",65516150,"C/O Thomas Quinn Accountants, The Station House, Station Road, St Ives, PE27 5BH",16750,Car Sales Site and Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite D202, Dean Clough Mills, Halifax, HX3 5AX",64788829,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",550,Store,Empty Property - RV < 15000
W W Leese [Hx] Ltd,"Unit 6 Lower Brea, Leeds Road, Halifax, HX3 7AQ",65612720,"Lower Brear, Leeds Road, Stump Cross, Halifax, HX3 7AQ",3600,Warehouse And Premises,Qualifying industrial hereditament
Tru Property Investments Ltd,"Huddersfield Road, Elland, HX5 0EE",56132706,"C R Marshall, Marshall House, Huddersfield Road, Elland, HX5 9BW",4300,Workshop And Premises,Qualifying industrial hereditament
Tosca North East Ltd,"67 Commercial Street, Brighouse, HD6 1AF",29196067,"C/O London & Scottish Inv Ltd, 349 Bath Street, Glasgow, G2 4AA",15500,Shop and Premises,Awaiting occupation
Shaw Lodge Mills Ltd,"The Mending Rooms, Shaw Lodge Mill, Shaw Lane, Halifax              HX3 9ET",68526758,"Reedham House, 31 King Street, Manchester, M3 2PJ",12750,Workshop And Premises,Listed Building
Harley House Ripponden Ltd.,"Suite 4 Harley House, Mill Fold, Ripponden, Sowerby Bridge       HX6 4DJ",77348773,"Registered Office, 67 Chorley Old Road, Bolton, BL1 3AJ",2075,Offices and Premises,Rateable Value below threshold
Homes And Communites Agency,"Halifax Magistrates Court, Harrison Road, Halifax, HX1 2AF",65276701,"St Georges House, Kingsway, Team Valley, Gateshead, NE11 0NA",168000,Law Court And Premises,Listed Building
Brackenridge & Wade,"Unit G3 Part Ground Floor, Prescott House, 26 Prescott Street, Halifax              HX1 2LG",68280026,"6 Lisbon Square, Leeds, LS1 4LY",1125,Offices and Premises,Awaiting occupation
Due West Ltd,"54 Southgate, Halifax, HX1 1DL",68652054,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",13500,Shop and Premises,Awaiting occupation
,"Portsmouth Mill, Station Parade, Todmorden, OL14 8PU",78448700,,15000,Storage Depot And Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite E130, Dean Clough Mills, Halifax, HX3 5AX",64885719,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",1625,Office and Premises,Empty Property - RV < 15000
Hallmark Developments (North West) Limited,"Car Park At Dews Garages Ltd, Northgate, Halifax, HX1 1XJ",68096714,"Fao Mr Graham Healey, York House, 15-17 York Street, Heywood, Lancashire, OL10 4NN",33000,Car Park And Premises,Awaiting occupation
Bizspace Ltd,"Unit 18E, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628863,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",3050,Offices and Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 6J, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628823,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",2700,Workshop And Premises,Rateable Value below threshold
E.P.I.C Plc,"1ST & 2ND Floors, 19 Commercial Street, Brighouse, HD6 1AF",29196732,"Robin Hood Works, Wakefield Road, Brighouse, HD6 1PE",2850,Offices and Premises,Rateable Value below threshold
Maramar Holdings Ltd,"Adj Lockwoods Carpets, Halifax Road, Elland, HX5 0SH",56116715,"The Gatehouse, The Ridings Business Park, Hopwood Lane, Halifax, HX1 3TT",2650,Studio And Premises,Rateable Value below threshold
,"189 King Cross Road, Halifax, HX1 3LN",65516189,,6300,Shop and Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite E323, Dean Clough Mills, Halifax, HX3 5AX",65784843,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",5200,Offices,Listed Building
Courier House Limited,"Courier Office, 9 King Cross Street, Halifax, HX1 2SH",65520732,"9 Roberts Road Business Park, Roberts Road, Balby, Doncaster, DN4 0JT",127000,Offices and Premises,Empty Relief - Post 01/04/2008
Waxman Holdings Ltd,"Unit 8 Heathfield Ind Estate, Heathfield Street, Elland, HX5 9AE",56128714,"Grove Mills, Elland Lane, Elland, HX5 9DZ",9600,Warehouse And Premises,Qualifying industrial hereditament
Dean Clough Ltd,"Office Suite G 419 & G 423, Dean Clough Mills, Halifax, HX3 5AX",64778795,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",17500,Offices and Premises,Listed Building
Bizspace Ltd,"Unit 11A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628871,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",2100,Offices And Premises,Rateable Value below threshold
Pennine Pneumatic Services Ltd,"Bartre Works, Rastrick Common, Brighouse, HD6 3DR",29480700,"5-7 Mount Pellon Works, Pellon New Road, Halifax, HX1 4UB",25500,Workshop And Premises,Qualifying industrial hereditament
Vape Saloon Ltd,"14 Square, Halifax, HX1 1RJ",68700014,"37 Bury New Road, Manchester, M8 8EQ",7100,Shop and Premises,Empty Relief - Post 01/04/2008
Admiral Taverns Ltd,"Shoulder Of Mutton, Cain Lane, Southowram, Halifax             HX3 9SB",64464702,"Suite H 3, Steam Mill Business Centre, Steam Mill Street, Chester, CH3 5AN",7950,Public House and Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite D256, Dean Clough Mills, Halifax, HX3 5AX",64788826,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",2450,Office,Empty Property - RV < 15000
Blackshaw Holdings Ltd,"Unit 3, Hipperholme Business Park, Halifax Road, Halifax              HX3 8ER",65232759,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",13500,Workshop And Premises,Empty Relief - Post 01/04/2008
,"48 New Road, Halifax, HX1 2LH",68028048,,6100,Shop and Premises,Empty Relief - Post 01/04/2008
R Collett & Sons (Transport) Ltd,"Unit 4 Victoria Terminal, Albert Road, Halifax, HX2 0BY",64040721,"Victoria Terminal, Albert Road, Halifax, HX2 0DE",4750,Store And Premises,Qualifying industrial hereditament
Environment Agency,"The Village Garden Hut, 1 Caldene Avenue, Mytholmroyd, Hebden Bridge        HX7 5AF",76092707,"Horizon House, Deanery Road, Bristol, BS1 5AH",3550,Shop and Premises,Empty Relief - Post 01/04/2008
Harley House Ripponden Ltd,"Suite 9 Harley House, Mill Fold, Ripponden, Sowerby Bridge       HX6 4DJ",77348784,"67 Chorley Old Road, Bolton, BL1 3AJ",2050,Offices and Premises,Empty Property - RV < 15000
Dean Clough Ltd,"Office Suite D123, Dean Clough Industrial Park, Halifax, HX3 5AX",64788785,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",2125,Office,Empty Property - RV < 15000
Craggs Country Business Park Llp,"Suite 8 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",76400728,"H/O Craggs Country B Park, New Road, Cragg Vale, Hebden Bridge, HX7 5TT",2400,Office and Premises,Empty Property - RV < 15000
,"Studio Gallery, 40 Halifax Road, Todmorden, OL14 5QG",78192802,,1825,Gallery,Empty Property - RV < 15000
Merrie Men Inns Preston Ltd,"22 Halifax Road, Todmorden, OL14 5QG",78192022,"20/24 Leicester Road, Preston, Lancs, PR1 1PP",2850,Offices and Premises,Rateable Value below threshold
Trustees Of J Ilingworth [Deceased],"27 Bradford Road, Brighouse, HD6 1RW",29080027,"C/O Wheawill & Sudworth, P.O Box B 30, 35 Westgate, Huddersfield, HD1 1PA",4950,Hairdressing Salon and Premises,Awaiting occupation
,"Ground Floor, 355 Halifax Road, Todmorden, OL14 5SR",78192839,,5900,Search And Rescue Centre,Empty Relief - Post 01/04/2008
,"Adj 8 King Cross Street, Halifax, HX1 2SH",65520710,,10000,Showroom And Premises,Listed Building
Pennine Housing 2000 Ltd,"45 Stanningley Road, Mixenden, Halifax, HX2 8RJ",68804045,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",1150,Shop and Premises,Rateable Value below threshold
,"Basement, 10A Akroyd Place, Halifax, HX1 1YH",64036010,,990,Store And Premises,Rateable Value below threshold
Cullingworth Commercials & Freight Services Ltd,"Mezzanine Office 9, Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY",69388709,"Fao June Dove, Lumbrook Mills, Westercroft Lane, Shelf, Halifax, HX3 7TY",1625,Office,Rateable Value below threshold
,"1 Deal Street, Halifax, HX1 1QX",64780001,,3850,Warehouse And Premises,Listed Building
Calderdale Mbc,"28 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252737,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2800,Shop and Premises,Rateable Value below threshold
Westfield Properties Ltd,"Unit 28, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164748,"2 Stansfield Road, Todmorden, Lancs, OL14 5DL",1600,Workshop And Premises,Rateable Value below threshold
,"Carlton Works, The Boulevard, Savile Park Road, Halifax             HX1 2EN",68472703,,1975,Store And Premises,Rateable Value below threshold
Calderdale Mbc,"39 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252751,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2900,Shop and Premises,Listed Building
,"Part Unit 16, Washer Lane Works, Washer Lane, Halifax              HX2 7DX",68296740,,1300,Warehouse And Premises,Rateable Value below threshold
,"22 Dean Street, Greetland, Halifax, HX4 8DW",64800022,,2175,Workshop And Premises,Empty Property - RV < 15000
,"Basement Of Unit 20A, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",68536816,,1075,Store And Premises,Empty Property - RV < 15000
Calderdale Mbc,"30 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252750,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2800,Shop and Premises,Listed Building
,"Cross Roads, Wainstalls, Halifax, HX2 7TE",64724700,,1525,Sports Ground And Premises,Rateable Value below threshold
Blackshaw Holdings Ltd,"Unit 31 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056713,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",2000,Store,Rateable Value below threshold
Calderdale Mbc Community Services,"16 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252733,"C/O Michael Devereux, Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",2800,Shop and Premises,Listed Building
,"Unit 5, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",76088876,,1825,Factory and Premises,Rateable Value below threshold
Units To Let [Northern] Ltd,"Unit 30A, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS",77024730,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",990,Workshop And Premises,Rateable Value below threshold
,"13 Town Hall Street, Sowerby Bridge, HX6 2EA",77600013,,5000,Shop and Premises,Listed Building
,"37a Stainland Road, Greetland, Halifax, HX4 8AD",68772735,,1900,Hairdressing Salon and Premises,Rateable Value below threshold
Blackshaw Holdings Ltd,"Unit 25 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",29056734,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1550,Offices and Premises,Rateable Value below threshold
Co-Operative Group Ltd,"King Street, Brighouse, HD6 1NX",29372707,"C/O Rate Account Management, Colliers Int Rating Uk Llp, 12th Flr Eleven Brindleyplace, 2 Brunswick Square, Brindleyplace Birmingham, B1 2LP",2400,Meeting Rooms And Premises,Empty Property - RV < 15000
,"The Cellar, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",76420720,,2500,Workshop And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Part Ground Floor, Wilkin Royd Mill, Wood Street, Brighouse           HD6 1PW",29648709,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",960,Store And Premises,Rateable Value below threshold
Dean Clough Ltd,"Office Suite D5, Dean Clough Mills, Halifax, HX3 5AX",64788850,"Dean Clough Mills, Halifax, HX3 5AX",120000,Offices and Premises,Listed Building
,"1/2 Town Hall Buildings, Elland, HX5 9AJ",56236002,,9400,Hairdressing Salon and Premises,Listed Building
Units To Let [Northern] Ltd,"Unit 23, Mill House Lane, Triangle, Sowerby Bridge       HX6 3LN",77352741,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",1750,Store And Premises,Listed Building
,"13 Hill Crest, Burnley Road, Sowerby Bridge, HX6 2TJ",77108712,,2800,Shop and Premises,Empty Property - RV < 15000
Hawkhead Bray & Son Ltd,"Second Floor Unit 5C, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248752,"Unit 19a, Phoebe Lane Industrial Estate, Siddal, Halifax, HX3 9EX",590,Store And Premises,Rateable Value below threshold
H.R Goodale [ Northern] Ltd,"Star Garage, Wakefield Road, Halifax, HX3 0TP",69240707,"Star Garage, Wakefield Road, Halifax, HX3 0TP",6100,Workshop And Premises,Empty Relief - Post 01/04/2008
Westfield Properties Ltd,"Unit 11, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164731,"2 Stansfield Road, Todmorden, Lancs, OL14 5DL",1600,Offices and Premises,Rateable Value below threshold
,"Part 1st Floor, Fenton Road, Halifax, HX1 3SQ",65072709,,3050,Stores,Empty Relief - Post 01/04/2008
,"Maitland Street, Todmorden, OL14 7SS",78300700,,1400,Shop and Premises,Rateable Value below threshold
Calderdale Mbc,"Unit 59 The Bradley Room, Piece Hall, Halifax, HX1 1RE",68252774,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",6500,Shop and Premises,Listed Building
Coal Pension Properties Ltd,"19 Woolshops, Halifax, HX1 1RU",69536019,"C/O Capita Property &, Infrastructure Ltd, 65 Gresham Street, London, EC2V 7NQ",30250,Shop and Premises,Empty Relief - Post 01/04/2008
,"Unit D, Old Fire Station Buildings, Elizabeth Street, Elland              HX5 0LD",56076711,,1675,Workshop And Premises,Empty Property - RV < 15000
Calderdale Mbc Community Services,"Adj 59 Rustic, Piece Hall, Halifax, HX1 1RE",68252790,"C/O Michael Devereux, Piece Hall Admin Office, Piece Hall, Halifax, HX1 1RE",5000,Offices and Premises,Listed Building
Calderdale Mbc,"49 Arcade, Piece Hall, Halifax, HX1 1RE",68252706,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",3050,Shop and Premises,Listed Building
Friarshill Ltd,"Unit 21/21A, Washer Lane Works, Washer Lane, Halifax              HX2 7DX",68296734,"C/O The Old Farm House, Ouzlewell Green, Lofthouse, Wakefield, WF3 3SB",2400,Warehouse And Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 203D Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420723,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",450,Store And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 203A Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420729,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",930,Store And Premises,Empty Property - RV < 15000
Calderdale Mbc Markets Manager,"Market Stall 108-109, Market Hall, Borough Market, Halifax              HX1 1DZ",64288818,"19 Albion Street, Halifax, HX1 1DU",4000,Market Stall And Premises,Listed Building
,"Spring Grove Stables, Foster Lane, Hebden Bridge, HX7 8JX",76212703,,2550,Garage And Premises,Empty Property - RV < 15000
Bizspace Ltd,"Unit 6E, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628764,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",2425,Store,Empty Property - RV < 15000
J & G Ainley (Tow Bars) Ltd,"Telecommunications Mast 3G, Site HX0001 Eastfield Mills, Belmont Street, Halifax              HX3 6AT",64236717,"Eastfield Mills, Belmont Street, Horley Green, Halifax, HX3 6AT",6000,Communication Station and Premises,Unoccupied Land
,"Baxter Lane Works, Northowram, Halifax, HX3 7EF",64180700,,2550,Workshop And Premises,Rateable Value below threshold
,"Hill Top Farm, Pepper Hill, Cock Hill Lane, Shelf                HX3 7TH",68244706,,1150,Land Used For Storage and Premises,Empty Property - RV < 15000
Trustees Of Blakeboroughs Social And Sports Club (In Liq),"Albion Bowling Club, R/O 143 Halifax Road, Brighouse, HD6 2ED",29296714,"C/O Begbies Traynor, 36 Clare Road, Halifax, HX1 2HX",1975,Bowling Club And Premises,Rateable Value below threshold
Calderdale Mbc,"1 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252793,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2800,Shop and Premises,Empty Property - RV < 15000
Homes & Communities Agency,"8 King Cross Street, Halifax, HX1 2SH",65520008,"Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",2900,Surgery And Premises,Listed Building
Warmco Space Heating Ltd,"4TH Floor South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212765,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2025,Warehouse And Premises,Listed Building
