Body Name,Body,Service Label    ,Service Code,Service Division Label,Service Division Code,Organisational Unit,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,Net Amount, Capital and Revenue,Supplier Name,Supplier_ID
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Recycling,1305,Delivery & Front Line Services,Supplies and Services,1325/33002,Printing & Stationery,33002,12/10/2017,inv0041615,249.53,General Fund,Euclid Limited,23702
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Recycling,1305,Delivery & Front Line Services,Supplies and Services,1325/33002,Printing & Stationery,33002,12/10/2017,inv0041616,55.08,General Fund,Euclid Limited,23702
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Delivery & Front Line Services,Transport Related Expenses,2461/20202/VY202,Transport Parts & Materials,20202,12/10/2017,inv0041576,379.90,Control Holding and SU Accnts,Fleet Factors Ltd,17801
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Delivery & Front Line Services,Transport Related Expenses,2461/20202/VY202,Transport Parts & Materials,20202,12/10/2017,inv0041563,43.21,Control Holding and SU Accnts,Fleet Factors Ltd,17801
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Delivery & Front Line Services,Transport Related Expenses,2461/20202/VY202,Transport Parts & Materials,20202,12/10/2017,inv0041577,5.44,Control Holding and SU Accnts,Fleet Factors Ltd,17801
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Delivery & Front Line Services,Transport Related Expenses,2461/20202/VY202,Transport Parts & Materials,20202,12/10/2017,inv0041563,11.96,Control Holding and SU Accnts,Fleet Factors Ltd,17801
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Delivery & Front Line Services,Transport Related Expenses,2461/20202/VY202,Transport Parts & Materials,20202,12/10/2017,inv0041563,16.03,Control Holding and SU Accnts,Fleet Factors Ltd,17801
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Delivery & Front Line Services,Transport Related Expenses,2461/20202/VY202,Transport Parts & Materials,20202,12/10/2017,inv0041563,21.31,Control Holding and SU Accnts,Fleet Factors Ltd,17801
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Resources and Enabling,Premises,2211/10001,Premises Rep.& Maint.-Out.Contractor,10001,12/10/2017,inv0041709,880.00,Control Holding and SU Accnts,Geze UK Ltd,20178
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Community Safety CCTV,1301,Environment,Premises,1301/10009,Repairs/Maint.-Other Costs,10009,12/10/2017,inv0041687,58.00,General Fund,GMC Fire & Security Protection Serv Ltd,17284
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Housing Services,1A6,Homelessness,1602,Resources and Enabling,Premises,1614/10001,Premises Rep.& Maint.-Out.Contractor,10001,12/10/2017,inv0041691,38.00,General Fund,GMC Fire & Security Protection Serv Ltd,17284
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Resources and Enabling,Premises,1914/10001,Premises Rep.& Maint.-Out.Contractor,10001,12/10/2017,inv0041632,156.00,General Fund,GMC Fire & Security Protection Serv Ltd,17284
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Resources and Enabling,Premises,1914/10001,Premises Rep.& Maint.-Out.Contractor,10001,12/10/2017,inv0041622,130.00,General Fund,GMC Fire & Security Protection Serv Ltd,17284
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Resources and Enabling,Premises,1923/10001,Premises Rep.& Maint.-Out.Contractor,10001,12/10/2017,inv0041630,130.00,General Fund,GMC Fire & Security Protection Serv Ltd,17284
