Ratepayer,Billing Account Balance ,Liable Unit Balance ,Year,Property Address,Billing Address,Date Start,Date End
Vodafone Ltd,-777.18,-1979.17,2013,"Telecommunications Mast, Site Ref 35452, Bowood Lane, Triangle             HX6 3DU","C/O Ctil, Rate A/C Management, Colliers Int Rating Uk Llp, 12th Floor, 11 Brindley Place, 2 Brunswick Square, Brindley Place, Birmingham, B1 2LP",04/01/06,
,-9.55,-9.55,2010,"297 Gibbet Street, Halifax, HX1 4JX",,10/01/06,04/30/10
Tefonica O2 (Uk) Ltd,-288,-786.4,2015,"Telecommunications Mast, Site Ref 37419, Royd Road, Todmorden           OL14 8DW","Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",10/04/06,
,-0.2,-0.2,2012,"5 St Johns Lane, Halifax, HX1 2JD",,12/05/06,
Amazonails Ltd,-44.37,-44.37,2011,"Unit 1 Hope Mill, Crescent Street, Todmorden, OL14 5HJ","Unit 1, Hope Mill, Crescent Street, Todmorden, OL14 5HJ",03/01/07,07/07/11
Wiley Accessories Ltd,-205.64,-205.64,2015,"Junction Bradford Road/, Thornhills Beck Lane, Brighouse, HD6 4AH","Fao Michelle Bacon, Wiley Accessories Ltd, St Peg Mills, Bradford Road, Brighouse, HD6 4AU",04/01/07,02/04/16
Security Professionals Ltd,-20.39,-20.39,2008,"Unit 7B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","C/O 31 Willowfield Close, Willowfield, Halifax, HX2 7LP",06/01/06,10/30/08
,-602.76,-766.35,2008,"11/13 Lilly Street, Sowerby Bridge, HX6 3DG",,07/01/07,01/04/08
,-58.75,-58.75,2012,"Unit 1 Tower Block, Robinwood Mill, Burnley Road, Todmorden           OL14 8JA",,06/13/07,
Johnson Cleaners Uk Ltd,-226.57,-226.57,2016,"10 Commercial Street, Halifax, HX1 1TA","C/O Bellrock F M Ltd, Enterprise House, Sunningdale Road, Leicester, LE3 1UR",04/01/07,06/24/16
,-141.6,-966.7,2015,"Balcony Store 30, Borough Market, Halifax, HX1 1DZ",,04/01/07,03/31/10
Alfiman Ltd,-3193.51,-4117.44,2013,"Sovereign House, 8 Bonegate Road, Brighouse, HD6 1SP","181 Bramley Lane, Halifax, HX3 8JJ",10/01/07,05/31/13
Alfiman Ltd,-923.93,-4117.44,2014,"Sovereign House, 8 Bonegate Road, Brighouse, HD6 1SP","181 Bramley Lane, Halifax, HX3 8JJ",10/01/07,05/31/13
,-1.32,0,2016,"Part 2nd Floor, Berwick Street, Halifax, HX1 1QG",,11/03/07,
Romida Sports Ltd (In Administration),-214.73,-214.73,2012,"Unit 3 West Vale Buildings, Wakefield Road, Brighouse, HD6 1QD","Bdo Llp, 3 Hardman Street, Manchester, M3 3AT",04/01/07,10/04/12
Tefonica O2 (Uk) Ltd,-247.5,-666.7,2012,"Telecommunication Mast, Site Ref 18479, Old Lindley Road, Holywell Green       HX4 9DF","Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",04/01/05,
Cheque Centres Properties Ltd (In Liquidation),-1994.61,-1994.61,2014,"68 Commercial Street, Brighouse, HD6 1AQ","Kpmg, Saltire Court, 20 Castle Terrace, Edinburgh, EH1 2EG",04/20/07,07/02/14
,-77.83,-77.83,2007,"16 Union Street, Halifax, HX1 1PR",,05/01/07,03/08/08
Equable Properties Ltd,-312.5,-312.5,2008,"Dog & Partridge, Sourhall Road, Todmorden, OL14 7JA","27/28 Eastcastle Street, London, W1W 8DH",02/06/08,07/23/09
Newbuild Masonry (Yorkshire) Ltd,-96.83,-96.83,2008,"Office 6 Britannia Works, Garden Street North, Halifax, HX3 6AE","Mr G Varley, 308 Skircoat Green Road, Halifax, HX3 0LJ",04/01/08,12/31/08
,-0.58,-0.58,2012,"18 Carr House Road, Shelf, Halifax, HX3 7QY",,04/20/08,
,-0.3,-0.3,2012,"The Delvers, Wainstalls, Halifax, HX2 7UA",,02/01/08,
,-28.5,-28.5,2008,"75 Burnley Road, Todmorden, OL14 7BS",,02/13/08,03/08/09
,-2.76,-2.76,2009,"Unit 3D Beehive Mills, Hebble End, Hebden Bridge, HX7 6HJ",,12/01/07,03/12/10
,-4.65,-4.65,2015,"Unit 2, 38 Sunderland Street, Halifax, HX1 5AF",,10/01/07,
,-243.14,-243.14,2009,"Unit 4D, Top Land Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,07/01/08,12/31/09
Oakenclough Buildings Ltd,-574.03,-574.03,2009,"Sowerby Bridge Sheds, Holby Business Centre, West Street, Sowerby Bridge      HX6 3BT","Attn Glenn Brady, Oakenclough Mill, Garstang, Preston, PR3 1TB",09/01/08,12/31/09
Calderdale Mbc Land & Property Services,-1441.3,-1441.3,2016,"West Yorkshire Fire Service, Hollins Mill Lane, Sowerby Bridge, HX6 2QG","Northgate House, Northgate, Halifax, HX1 1UN",04/01/08,06/14/16
The Brass Monkey Brewery Co Ltd,-995.97,-995.97,2012,"Units 24-26, Asquith Bottom Mills, Sowerby Bridge, HX6 3BS","Units 24/26, Asquith Bottom Mills, Ridge Street, Sowerby Bridge, HX6 3BS",10/01/08,05/31/12
,-85.77,-85.77,2011,"Part 2ND Floor Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,04/01/08,03/26/12
K Skips Ltd,-0.45,-0.45,2012,"Haulage Yard, Balkram Edge Farm, Mount Tabor, Halifax              HX2 0UB","Fao Mr M Kemp, Balkram Edge Farm, Mount Tabor, Halifax, HX2 0UB",01/01/09,
,-106.55,-106.55,2009,"Ground Floor, 24/26 Silver Street, Halifax, HX1 1HS",,11/17/08,03/17/10
,-176,-176,2010,"Unit 3B & Compound, Mitchell Street, Todmorden, OL14 7DP",,10/26/08,01/31/10
Intrepid Leisure Ltd,-58.46,-58.46,2009,"Maypole Inn, 32 Warley Town, Stock Lane, Halifax              HX2 7RZ","Po Box 496, Kingston Upon Hull, HU9 9GN",03/16/09,08/13/09
"Drs Mayland, Rastall & Cameron",-7263.07,-65363.82,2012,"Beechwood Medical Centre, 60A Keighley Road, Halifax, HX2 8AL","F A O Elliott Summers, Beechwood Medical Centre, 60A Keighley Road, Ovenden, Halifax, HX2 8AL",10/14/12,
"Drs Mayland, Rastall & Cameron",-16131.75,-65363.82,2013,"Beechwood Medical Centre, 60A Keighley Road, Halifax, HX2 8AL","F A O Elliott Summers, Beechwood Medical Centre, 60A Keighley Road, Ovenden, Halifax, HX2 8AL",10/14/12,
"Drs Mayland, Rastall & Cameron",-16885.25,-65363.82,2015,"Beechwood Medical Centre, 60A Keighley Road, Halifax, HX2 8AL","F A O Elliott Summers, Beechwood Medical Centre, 60A Keighley Road, Ovenden, Halifax, HX2 8AL",10/14/12,
Bizspace Ltd,-603.91,-603.91,2013,"Unit 16K, Calderdale Buslness Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",07/01/13,12/31/13
Community Voice Ltd,-216.44,-216.44,2015,"Office 36 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","Unit 17 Hardmans Bus. Centre, Newhall Hey Road, Rawtenstall, BB4 6HH",11/13/13,10/31/15
Primesight Ltd,-0.04,407.96,2014,"Advertising Right No 4772, 365 Salterhebble Hill, Halifax, HX3 9LU","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",09/01/09,
,-10.8,-10.8,2012,"Room 2, Town Hall, Thornton Square, Brighouse           HD6 1ED",,02/18/09,03/31/12
,-127.8,-127.8,2012,"Unit 23 Robinwood Mill, Burnley Road, Todmorden, OL14 8JA",,03/01/10,
,-575.52,-575.52,2010,"Unit 11 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,02/01/10,01/31/11
The Bradshaw Pub Co Ltd,-1.03,-1.03,2012,"Golden Fleece Inn, 1 Bradshaw Lane, Bradshaw, Halifax             HX2 9UZ","Fao Keith A Vear, 29 Whitley Drive, Holmfield, Halifax, HX2 9SJ",01/28/10,
,-9.58,-9.58,2012,"Unit 2 Robinwood Mill, Burnley Road, Todmorden, OL14 8JA",,07/01/10,
Administrators Of G F Interiors Ltd,-711.64,-711.64,2009,"Gooder Lane, Brighouse, HD6 1HF","C/O Begbies Traynor, 36 Clare Road, Halifax, HX1 1TP",02/27/10,04/20/10
,-2562.59,-5812.39,2012,"Cromwell Bottom, Elland Road, Brighouse, HD6 2RG",,04/01/10,03/31/10
,-493.41,-5812.39,2013,"Cromwell Bottom, Elland Road, Brighouse, HD6 2RG",,04/01/10,03/31/10
Anchor Trust,-24.13,-24.13,2011,"Office 3.8, 1ST Floor, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN","Burnbank House, Balliol Business Park, Longbenton, Newcastle Upon Tyne, NE12 8EW",04/01/10,10/01/11
Triplesix Ltd,-166.67,-166.67,2013,"Unit 6C & 6D, Topland Country Business Pk, Cragg Road, Mytholmroyd","Unit 2 B Orchard Business Pk, Scout Road, Mytholmroyd, Hebden Bridge, HX7 5HZ",05/01/10,03/03/14
,-19.4,-69.42,2010,"Market Stall 124/131, Market Hall, Borough Market, Halifax             HX1 1DZ",,11/22/10,03/31/13
