Property Address,RATEPAYER,RV,LIABILITY_START
"Unit 2 Lower Brea, Leeds Road, Halifax, HX3 7AQ",,3250,01/04/2015
"Unoffical Address, Unit A Atlas Mill Road, Brighouse, HD6 1ES",V S Engineering Ltd,5000,03/02/2016
"Ground Floor, 46 Prescott Street, Halifax, HX1 2QW",D L Partnership (Uk) Ltd,4700,01/01/2016
"1ST & 2ND Floor, 46 Prescott Street, Halifax, HX1 2QW",D L Partnership (Uk) Ltd,7700,01/01/2016
"Storeroom 7 Market Hall, Brook Street, Todmorden, OL14 5AJ",,215,01/01/2016
"Unit 4B, 148/150 Hanson Lane, Halifax, HX1 5PQ",,5700,01/09/2015
"Office 1 2ND Floor, New Oxford House, Albert Street, Hebden Bridge        HX7 8AH",Welcome Independent Living Ltd,2750,04/04/2016
"Office 2 2ND Floor, New Oxford House, Albert Street, Hebden Bridge        HX7 8AH",Welcome Independent Living Ltd,760,04/04/2016
"1ST Floor, New Oxford House, Albert Street, Hebden Bridge        HX7 8AH",Welcome Independent Living Ltd,14500,04/04/2016
"Office 3 2ND Floor, New Oxford House, Albert Street, Hebden Bridge        HX7 8AH",,5500,04/04/2016
"8-9 Market Hall, Brook Street, Todmorden, OL14 5AJ",,3200,01/01/2016
"10 Market Hall, Brook Street, Todmorden, OL14 5AJ",,1300,01/01/2016
"Star Inn, 29 Bridge End, Brighouse, HD6 3DN",,6400,31/08/2015
"Front Land Old Watson Bakery, Adelaide Street, Halifax, HX1 4LY",,5900,01/05/2015
"7 Cross Street West, Halifax, HX2 0HA",,3950,01/12/2015
"17/19 Burnley Road, Todmorden, OL14 7BU",,7000,05/08/2015
"Rear Land Old Watson Bakery, Adelaide Street, Halifax, HX1 4LY",,7100,01/05/2015
"Suite 5 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Craggs Country Business Park Llp,2325,01/04/2016
"Adj 9 Wade House Road, Shelf, Halifax, HX3 7PF",,4500,06/10/2015
"9 Square, Bradford Road, Northowram, Halifax              HX3 7HW",,2750,01/06/2016
