Travel Date,No of Passengers,Class of Service,Departure Airport,Destination Airport,Cost of Booking excluding VAT,Airline,Dept.
01/02/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£28.00,British Airways,DFID
04/02/2011,1,ECONOMY                  ,Lon Heathrow,Manchester,£169.00,British Airways,DFID
23/01/2011,1,ECONOMY                  ,Lon Heathrow,Dulles,£781.00,British Airways,DFID
23/01/2011,1,ECONOMY                  ,Da Vinci,Phnom Penh,£750.00,Thai Airways International,DFID
19/02/2011,1,BUSINESS                 ,Lon Gatwick,Dubai,"£1,293.00",Emirates,DFID
20/01/2011,1,PREMIUM ECONOMY          ,Lon Heathrow,Kennedy Ny,£929.00,British Airways,DFID
28/01/2011,1,ECONOMY                  ,Dubai,Lon Heathrow,£811.00,Emirates,DFID
21/01/2011,1,ECONOMY                  ,Glasgow,Luton Engla,£40.44,Easyjet,DFID
02/02/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£19.00,British Airways,DFID
19/01/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£57.00,British Midland,DFID
29/01/2011,1,ECONOMY                  ,Glasgow,Nairobi,£70.00,Kenya Airways,DFID
31/03/2011,1,ECONOMY                  ,Oslo Osl,Toulouse,£12.00,Lufthansa German Airlines,DFID
15/01/2011,1,ECONOMY                  ,Tunis,Lon Heathrow,£89.00,Tunisair,DFID
17/01/2011,1,BUSINESS                 ,Lon Heathrow,Manila,"£1,950.00",Emirates,DFID
21/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£83.00,British Airways,DFID
21/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£83.00,British Airways,DFID
23/01/2011,1,ECONOMY                  ,Lon Heathrow,Kishinev,£197.00,Austrian Airlines,DFID
31/03/2011,1,ECONOMY                  ,Oslo Osl,Toulouse,£104.00,Lufthansa German Airlines,DFID
31/03/2011,1,ECONOMY                  ,Oslo Osl,Toulouse,£120.00,Lufthansa German Airlines,DFID
18/01/2011,1,ECONOMY                  ,Glasgow,Nairobi,£790.00,KLM UK,DFID
18/01/2011,1,ECONOMY                  ,Glasgow,Nairobi,£790.00,KLM UK,DFID
11/02/2011,1,ECONOMY                  ,Glasgow,Exeter,£95.48,Flybe,DFID
18/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£108.03,Easyjet,DFID
11/02/2011,1,ECONOMY                  ,Glasgow,Exeter,£95.49,Flybe,DFID
18/01/2011,1,ECONOMY                  ,Luton Engla,Geneva,£77.43,Easyjet,DFID
19/01/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£87.03,Easyjet,DFID
16/02/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£18.00,British Airways,DFID
13/02/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£38.00,British Airways,DFID
19/01/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£102.00,British Airways,DFID
01/02/2011,1,ECONOMY                  ,Glasgow,Dulles,£788.00,United Airlines,DFID
08/02/2011,1,ECONOMY                  ,Dulles,Lon Heathrow,£125.00,British Airways,DFID
26/01/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£14.00,British Midland,DFID
31/01/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£33.00,British Airways,DFID
18/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£83.00,British Airways,DFID
28/01/2011,1,ECONOMY                  ,Abuja,Lon Heathrow,£256.00,British Airways,DFID
21/01/2011,1,ECONOMY                  ,Geneva,Manchester,£180.00,British Airways,DFID
19/01/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£102.00,British Airways,DFID
31/03/2011,1,ECONOMY                  ,Oslo Osl,Toulouse,£120.00,Lufthansa German Airlines,DFID
19/01/2011,1,ECONOMY                  ,Ho Chi Minh,Hanoi,£186.00,Vietnam Airlines UK,DFID
08/02/2011,1,BUSINESS                 ,Khartoum,Lon Heathrow,£750.00,Egyptair,DFID
25/01/2011,1,PREMIUM ECONOMY          ,Dubai,Lon Heathrow,"£1,471.00",Virgin Atlantic Airways,DFID
05/02/2011,1,ECONOMY                  ,Lon Heathrow,Bishkek,£210.00,British Midland,DFID
01/02/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£199.00,British Midland,DFID
25/01/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£72.00,British Airways,DFID
04/02/2011,1,BUSINESS                 ,Batumi,Lon Heathrow,£537.00,Turkish Airlines,DFID
18/01/2011,1,ECONOMY                  ,Tunis,Lon Heathrow,£287.00,Tunisair,DFID
31/01/2011,1,ECONOMY                  ,Lon Heathrow,Manila,£585.00,Emirates,DFID
24/01/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£75.00,British Midland,DFID
23/01/2011,1,ECONOMY                  ,Ndjili,Lon Heathrow,£641.00,Sn Brussels Airlines,DFID
02/02/2011,1,ECONOMY                  ,Dubai,Lon Gatwick,"£2,404.00",Emirates,DFID
19/01/2011,1,ECONOMY                  ,Glasgow,London Stans,£44.74,Easyjet,DFID
03/02/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£44.43,Easyjet,DFID
16/01/2011,1,ECONOMY                  ,Tunis,Tunis,£0.00,Tunisair,DFID
08/02/2011,1,BUSINESS                 ,Khartoum,Lon Heathrow,"£1,000.00",Egyptair,DFID
11/02/2011,1,ECONOMY                  ,Dubai,Lon Gatwick,"£1,920.00",Emirates,DFID
25/01/2011,1,ECONOMY                  ,Edinburgh,Lon Gatwick,£73.00,British Airways,DFID
31/01/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£44.00,British Airways,DFID
18/01/2011,1,ECONOMY                  ,Tunis,Lon Heathrow,£287.00,Tunisair,DFID
18/01/2011,1,ECONOMY                  ,Tunis,Lon Heathrow,£287.00,Tunisair,DFID
14/02/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£89.00,British Midland,DFID
19/01/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£179.00,British Midland,DFID
25/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£44.00,British Airways,DFID
18/01/2011,1,ECONOMY                  ,Lon Heathrow,Manila,£585.00,Emirates,DFID
23/01/2011,1,ECONOMY                  ,Lon Heathrow,Pristina,£271.00,Austrian Airlines,DFID
24/01/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£44.74,Easyjet,DFID
26/01/2011,1,ECONOMY                  ,Glasgow,Luton Engla,£36.74,Easyjet,DFID
25/01/2011,1,ECONOMY                  ,Lon Heathrow,Da Vinci,£247.00,British Airways,DFID
