PLACE-REF,Additional Rlf,Period Charge,Charge Type,EXEM-AMT,EXEM-CD,SBR-APPLIED,SBR-SUPPLE,SBR-RELIEF-,MAND-CHAR-,MAND-CHARI,DISC-CHARIT,DIS-RLF-AMT,ANALYSIS-CD,RV,SURNAME,Billing Address 1,Billing Address 2,Billing Address 3,Billing Address 4,Billing Address 5,Billing Post Code,Liability Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post,UB-PROP-RV
3933200469,0,12325.42,O,0,,0,331.05,0,,0,0,0,CO,55000,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,06/10/2009,6TH FLOOR (FRONT),REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,OFFICES AND PREMISES
3933200719,0,169.4,V,173.95,MINRV,0,4.55,0,,0,0,0,CP1,350,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,01/04/2010,CAR SPACE 62,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,CAR PARKING SPACE
3933200739,0,508.2,V,521.85,MINRV,0,13.65,0,,0,0,0,CP1,1050,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,03/03/2014,CAR SPACE 4-6,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,CAR PARKING SPACES
3933200769,0,9505.63,V,0,,0,255.32,0,,0,0,0,CO,44250,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,17/09/2013,PT 3RD FLR REAR,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,OFFICES AND PREMISES
3933200779,0,127.63,V,131.06,MINRV,0,3.43,0,,0,0,0,CP1,350,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,30/06/2016,CAR SPACE 14,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,CAR PARKING SPACE
3933200829,0,10151.07,O,0,,0,272.65,0,,0,0,0,CO,44250,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,17/09/2013,6TH FLR REAR,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,OFFICES AND PREMISES
3933200889,0,799.33,V,820.8,MINRV,0,21.47,0,,0,0,0,CO,2200,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,01/07/2016,SUITE 3 9TH FLOOR REAR,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,OFFICES AND PREMISES
3933200899,0,4349.37,V,4466.19,3MTHS,0,116.82,0,,0,0,0,CO,16000,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,08/09/2016,SUITE 4-5 9TH FLOOR REAR,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,OFFICES AND PREMISES
3933200979,0,95.14,V,97.7,MINRV,0,2.56,0,,0,0,0,CP1,350,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,08/09/2016,CAR SPACE 12,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,CAR PARKING SPACE
3933201069,0,2184.23,V,2242.9,3MTHS,0,58.67,0,,0,0,0,CO,7100,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,12/08/2016,SUITE 3 - 10TH FLOOR FRONT,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,OFFICES AND PREMISES
