Organisation,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale,16/05/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,£688.61
Rochdale,16/05/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,£940.00
Rochdale,16/05/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£2,385.00"
Rochdale,16/05/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,£980.00
Rochdale,13/05/2014,PINSENT MASONS LLP,Legal Services,PHYSICAL DIS & OLDER PEOPLE,ADULT CARE HEAD OF SERVICE,"£3,885.00"
Rochdale,08/05/2014,BENJAMIN J STENSON,Legal Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£2,082.00"
Rochdale,13/05/2014,PINSENT MASONS LLP,Legal Services,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,"£1,017.50"
Rochdale,27/05/2014,THOMSON REUTERS,Legal Services,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,"£1,900.00"
Rochdale,30/05/2014,HAMMONDS LLP,Legal Services,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,£986.00
Rochdale,30/05/2014,HAMMONDS LLP,Legal Services,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"£4,046.80"
Rochdale,30/05/2014,HAMMONDS LLP,Legal Services,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"£11,223.78"
Rochdale,30/05/2014,HAMMONDS LLP,Legal Services,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"£6,365.40"
Rochdale,12/05/2014,ROYAL MAIL GROUP PLC,Mail Services ,PROPERTY AND HIGHWAYS,GLOBE HOUSE,£787.00
Rochdale,20/05/2014,ROYAL MAIL GROUP PLC,Mail Services ,PHYSICAL DIS & OLDER PEOPLE,INCOME GENERATION,£621.89
Rochdale,27/05/2014,DX NETWORK SERVICES LIMITED,Mail Services ,CUSTOMERS & CORPORATE SERVICES,LAND CHARGES,£800.00
Rochdale,27/05/2014,DX NETWORK SERVICES LIMITED,Mail Services ,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,£803.50
Rochdale,12/05/2014,ROYAL MAIL GROUP PLC,Mail Services ,PROPERTY AND HIGHWAYS,LOCK 50,£775.00
Rochdale,29/05/2014,ROYAL MAIL GROUP PLC,Mail Services ,PROPERTY AND HIGHWAYS,LOCK 50,£775.00
Rochdale,28/05/2014,IMS (NORTH WEST) LIMITED,Mail Services ,ECONOMY AND ENVIRONMENT,PLAYGROUND SERVICES,"£2,299.88"
Rochdale,07/05/2014,ROYAL MAIL GROUP PLC,Mail Services ,FINANCE SERVICES,TECHNICAL SUPPORT,"£1,718.53"
Rochdale,29/05/2014,ROYAL MAIL GROUP PLC,Mail Services ,FINANCE SERVICES,TECHNICAL SUPPORT,"£1,174.21"
Rochdale,06/05/2014,LANCASHIRE COUNTY COUNCIL,Public Bodies,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,"£1,834.00"
Rochdale,06/05/2014,MIDDLETON TECHNOLOGY SCHOOL FUND,Public Bodies,EARLY HELP AND SCHOOLS,BSF VARIATIONS/ CONTINGENCY,"£4,000.00"
Rochdale,12/05/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,16/05/2014,MANCHESTER CITY COUNCIL,Public Bodies,CUSTOMERS & CORPORATE SERVICES,EMERGENCY PLANNING,"£3,016.00"
Rochdale,20/05/2014,DURHAM COUNTY COUNCIL,Public Bodies,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£8,388.00"
Rochdale,20/05/2014,DURHAM COUNTY COUNCIL,Public Bodies,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£20,970.00"
Rochdale,29/04/2014,LANCASHIRE COUNTY COUNCIL,Public Bodies,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,"£9,000.00"
Rochdale,28/05/2014,OLDHAM METROPOLITAN BOROUGH COUNCIL,Public Bodies,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,"£40,500.00"
Rochdale,16/05/2014,WOKINGHAM BOROUGH COUNCIL,Public Bodies,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,"£13,138.00"
Rochdale,02/05/2014,TAMESIDE METROPOLITAN BOROUGH COUNCIL,Public Bodies,CUSTOMERS & CORPORATE SERVICES,LEARNING & DEVELOPMENT,"£6,500.00"
Rochdale,16/05/2014,LANCASHIRE COUNTY COUNCIL,Public Bodies,EARLY HELP AND SCHOOLS,LOOKED AFTER CHILDREN PUPIL PREMIUM,£623.00
Rochdale,16/05/2014,LANCASHIRE COUNTY COUNCIL,Public Bodies,EARLY HELP AND SCHOOLS,LOOKED AFTER CHILDREN PUPIL PREMIUM,£623.00
Rochdale,16/05/2014,LANCASHIRE COUNTY COUNCIL,Public Bodies,EARLY HELP AND SCHOOLS,LOOKED AFTER CHILDREN PUPIL PREMIUM,£900.00
Rochdale,20/05/2014,MANCHESTER CITY COUNCIL,Public Bodies,EARLY HELP AND SCHOOLS,LOOKED AFTER CHILDREN PUPIL PREMIUM,£623.00
Rochdale,16/05/2014,OLDHAM METROPOLITAN BOROUGH COUNCIL,Public Bodies,EARLY HELP AND SCHOOLS,LOOKED AFTER CHILDREN PUPIL PREMIUM,£623.00
Rochdale,30/04/2014,LANCASHIRE COUNTY COUNCIL,Public Bodies,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£1,927.80"
Rochdale,08/05/2014,BRIGHOUSE HIGH SCHOOL,Public Bodies,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS  IN OLA MAINSTREAM,"£2,512.00"
Rochdale,09/05/2014,CALDERDALE METROPOLITAN BOROUGH COUNCIL,Public Bodies,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS  IN OLA MAINSTREAM,"£3,253.00"
Rochdale,15/05/2014,OLDHAM METROPOLITAN BOROUGH COUNCIL,Public Bodies,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS  IN OLA MAINSTREAM,"£11,106.00"
Rochdale,06/05/2014,OLDHAM METROPOLITAN BOROUGH COUNCIL,Public Bodies,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS  IN OLA MAINSTREAM,"£9,261.00"
Rochdale,22/05/2014,LEVER PARK LEARNING TRUST,Public Bodies,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS IN OLA SPECIAL,"£3,027.67"
Rochdale,06/05/2014,OLDHAM METROPOLITAN BOROUGH COUNCIL,Public Bodies,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS IN OLA SPECIAL,"£10,595.00"
Rochdale,08/05/2014,DISCLOSURE & BARRING SERVICE,Public Bodies,ECONOMY AND ENVIRONMENT,REG LIC  GENERAL,"£1,628.00"
Rochdale,06/05/2014,MANCHESTER CITY COUNCIL,Public Bodies,CUSTOMERS & CORPORATE SERVICES,SUBSCRIPTIONS GRANTS AND DONATIONS,"£552,958.00"
Rochdale,14/05/2014,TAMESIDE METROPOLITAN BOROUGH COUNCIL,Public Bodies,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£6,500.00"
Rochdale,29/05/2014,FIRST MANCHESTER  LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,COMMUNITY CHAMPION,"£2,375.00"
Rochdale,01/05/2014,ALCO MINI TRAVEL,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,051.60"
Rochdale,21/05/2014,ALCO MINI TRAVEL,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,529.60"
Rochdale,09/05/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£888.00
Rochdale,09/05/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£682.00
Rochdale,09/05/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,212.75"
Rochdale,08/05/2014,CARLTON MINIBUSES,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,288.00"
Rochdale,01/05/2014,CASTLEROYLE PRIVATE HIRE,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£5,433.00"
Rochdale,29/05/2014,CASTLEROYLE PRIVATE HIRE,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,967.00"
Rochdale,06/05/2014,COACH OPTIONS LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,820.00"
Rochdale,06/05/2014,COACH OPTIONS LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,400.00"
Rochdale,06/05/2014,COACH OPTIONS LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,232.00"
Rochdale,14/05/2014,CONNECT CARS (MIDDLETON) LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,090.00"
Rochdale,14/05/2014,CONNECT CARS (MIDDLETON) LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,495.00"
Rochdale,29/05/2014,CONNECT CARS (MIDDLETON) LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£5,031.80"
Rochdale,14/05/2014,COZY CARS,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,156.00"
Rochdale,14/05/2014,COZY CARS,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£550.00
Rochdale,06/05/2014,DALE INDUSTRIAL SERVICES LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£3,250.00"
Rochdale,06/05/2014,DALE INDUSTRIAL SERVICES LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£8,463.00"
Rochdale,29/05/2014,DALE INDUSTRIAL SERVICES LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£12,117.00"
Rochdale,29/05/2014,DALE INDUSTRIAL SERVICES LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£5,518.00"
Rochdale,01/05/2014,J & S TRAVEL,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£732.00
Rochdale,08/05/2014,J & S TRAVEL,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£915.00
Rochdale,20/05/2014,J & S TRAVEL,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£732.00
Rochdale,21/05/2014,J & S TRAVEL,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£915.00
Rochdale,08/05/2014,LITTLEBOROUGH PRIVATE HIRE,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,900.00"
Rochdale,09/05/2014,ROCHDALE COMMUNITY TRANSPORT,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£990.00
Rochdale,09/05/2014,ROCHDALE COMMUNITY TRANSPORT,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£935.00
Rochdale,09/05/2014,ROCHDALE COMMUNITY TRANSPORT,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£770.00
Rochdale,09/05/2014,ROCHDALE COMMUNITY TRANSPORT,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£990.00
Rochdale,09/05/2014,ROCHDALE COMMUNITY TRANSPORT,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£550.00
Rochdale,14/05/2014,ROYTON MINIBUSES LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£3,830.00"
Rochdale,29/05/2014,TOWN TAXI CLEARING LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£557.00
Rochdale,21/05/2014,SWANS TRAVEL LTD,Public Transport,EARLY HELP AND SCHOOLS,SCHOOLS BUSINESS UNIT,"£1,445.00"
Rochdale,01/05/2014,ROCHDALE & DIST CITIZENS ADVICE BUREAU,Social Community Care Supplies & Services,CUSTOMERS & CORPORATE SERVICES,ADVICE TEAM,"£28,167.00"
Rochdale,25/04/2014,JUST CHECKING LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,CARELINE,£593.00
Rochdale,16/05/2014,SENIORLINK ELDERCARE,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,CARELINE,"£6,022.63"
Rochdale,07/05/2014,TUNSTALL HEALTHCARE (UK) LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,CARELINE,"£1,930.00"
Rochdale,28/05/2014,TUNSTALL HEALTHCARE (UK) LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,CARELINE,"£1,124.10"
Rochdale,07/05/2014,FRIENDS OF OLDER PARENT CARERS,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,"£3,743.16"
Rochdale,08/05/2014,MAKING SPACE,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,"£12,575.00"
Rochdale,29/04/2014,ROCHDALE GATEWAY LEISURE LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,"£5,218.57"
Rochdale,29/04/2014,ROCHDALE GATEWAY LEISURE LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,"£5,763.00"
Rochdale,06/05/2014,INDEPENDENT HOME CARE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,CENTRAL FORUM PHYS DIS,"£1,365.28"
Rochdale,06/05/2014,INDEPENDENT HOME CARE SERVICES,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,CENTRAL FORUM PHYS DIS,"£1,450.54"
Rochdale,27/05/2014,ROCHDALE GATEWAY LEISURE LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,CENTRAL FORUM PHYS DIS,£842.50
Rochdale,12/05/2014,TRAFFORD MBC,Social Community Care Supplies & Services,FINANCE SERVICES,CORPORATE PROCUREMENT,"£66,190.00"
Rochdale,23/05/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CROSSROADS,£607.50
Rochdale,23/05/2014,CROSSROADS CARE IN GREATER MANCHESTER,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CROSSROADS,"£3,621.38"
Rochdale,27/05/2014,REDACTED - PERSONAL DATA,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,DIRECT PAYMENTS TO CARERS,£500.00
Rochdale,06/05/2014,REDACTED - PERSONAL DATA,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,DIRECT PAYMENTS TO CARERS,£500.00
Rochdale,08/05/2014,REDACTED - PERSONAL DATA,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,DIRECT PAYMENTS TO CARERS,£500.00
Rochdale,30/04/2014,REDACTED - PERSONAL DATA,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,DIRECT PAYMENTS TO CARERS,£500.00
Rochdale,30/04/2014,REDACTED - PERSONAL DATA,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,DIRECT PAYMENTS TO CARERS,£500.00
Rochdale,01/05/2014,E MARLAND CHILDRENS RESPITE CARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£512.00
Rochdale,22/05/2014,E MARLAND CHILDRENS RESPITE CARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£512.00
Rochdale,09/05/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£521.84
Rochdale,09/05/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£521.84
Rochdale,06/05/2014,HEALEY CARE LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£1,882.50"
Rochdale,21/05/2014,POSSABILITIES CIC TRADING,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£4,495.40"
Rochdale,09/05/2014,RESPITE NORTH WEST LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£726.72
Rochdale,13/05/2014,RESPITE NORTH WEST LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£1,271.76"
Rochdale,27/05/2014,PRISM UK MEDICAL LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£1,632.68"
Rochdale,29/04/2014,TERRY GROUP LTD                      (S),Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£10,365.00"
Rochdale,27/05/2014,BROADBERRY CARE SOLUTIONS,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DOWLING STREET OCC THERAPY,£545.00
Rochdale,01/05/2014,PENNINE CARE NHS TRUST,Social Community Care Supplies & Services,CUSTOMERS & CORPORATE SERVICES,DRUGS & ALCOHOL - SPECIALIST D&A SRVC,"£160,051.00"
Rochdale,20/05/2014,BLACKBURN WITH DARWEN BC,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£5,600.00"
Rochdale,12/05/2014,CARE TODAY CHILDRENS SERVICES,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£11,978.70"
Rochdale,12/05/2014,COASTAL CHILD & ADOLESCENT THERAPUTIC SERVICES LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£2,200.00"
Rochdale,08/05/2014,FOOTSTEPS A PATH TO CHANGE,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£15,000.00"
Rochdale,12/05/2014,KEYS CHILDCARE,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£15,000.00"
Rochdale,20/05/2014,KEYS CHILDCARE,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£9,642.75"
Rochdale,20/05/2014,KEYS CHILDCARE,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£11,571.30"
Rochdale,12/05/2014,LIFETIME OPPORTUNITIES,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£9,920.00"
Rochdale,12/05/2014,NEW HORIZONS (STOCKPORT) LIMITED,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£7,954.00"
Rochdale,12/05/2014,NORTHERNCARE,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£15,000.00"
Rochdale,12/05/2014,NORTHERNCARE,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£9,623.57"
Rochdale,12/05/2014,NORTHERNCARE,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£14,700.00"
Rochdale,12/05/2014,PROGRESSIVE FUTURES CARE LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£6,242.83"
Rochdale,12/05/2014,PROGRESSIVE FUTURES CARE LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£9,857.10"
Rochdale,12/05/2014,SOCIAL CARE SERVICES LIMITED,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£8,850.00"
Rochdale,12/05/2014,STEP AHEAD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,£607.14
Rochdale,12/05/2014,STEP AHEAD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,£850.00
Rochdale,12/05/2014,THE TOGETHER TRUST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£9,852.60"
Rochdale,12/05/2014,THE TOGETHER TRUST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£9,857.10"
Rochdale,12/05/2014,THE TOGETHER TRUST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£15,234.90"
Rochdale,12/05/2014,THE TOGETHER TRUST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£10,710.00"
Rochdale,08/05/2014,TRAX CARE LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£19,285.57"
Rochdale,20/05/2014,PARENTS AND CHILDREN TOGETHER,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,"£14,333.00"
Rochdale,06/05/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,£834.34
Rochdale,06/05/2014,COMMUNITY CARE LINE SERVICES,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,£678.01
Rochdale,22/05/2014,NEWBARN LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,£501.43
Rochdale,22/05/2014,NEWBARN LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,"£1,654.03"
Rochdale,22/05/2014,NEWBARN LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,£557.14
Rochdale,29/05/2014,BUILDING BLOCKS DAY NURSERY NW LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"£1,000.00"
Rochdale,12/05/2014,CASTLETON COMMUNITY PLAYGROUP,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"£1,000.00"
Rochdale,29/04/2014,CLOVERLEAF CHILDCARE,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"£1,000.00"
Rochdale,14/05/2014,COSY TOES CHILDCARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"£1,000.00"
Rochdale,01/05/2014,FISHERFIELD FARM NURSERY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"£1,000.00"
Rochdale,29/04/2014,ROLY POLEYS PRIVATE DAY NURSERY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"£2,000.00"
Rochdale,02/05/2014,SEEROS PRIVATE DAY NURSURY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"£1,000.00"
Rochdale,06/05/2014,PHONAK GROUP LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,HEARING IMPAIRED SUPPORT,£680.60
Rochdale,06/05/2014,PRIESTLEYS & SMITHIES (ROCHDALE) LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,HIA,£860.35
Rochdale,12/05/2014,PRISM UK MEDICAL LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,HIA,"£1,800.00"
Rochdale,29/04/2014,ROSS CARE,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,HIA,"£11,057.09"
Rochdale,20/05/2014,KEYS CHILDCARE,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£2,080.00"
Rochdale,20/05/2014,KEYS CHILDCARE,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£1,560.00"
Rochdale,20/05/2014,KEYS CHILDCARE,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£1,690.00"
Rochdale,22/05/2014,KEYS CHILDCARE,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£1,760.00"
Rochdale,29/04/2014,SCOTTISH ADOPTION,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,"£9,000.00"
Rochdale,12/05/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,380.00"
Rochdale,22/05/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,380.00"
Rochdale,22/05/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,125.00"
Rochdale,12/05/2014,H G CARE SERVICES LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,440.00"
Rochdale,28/05/2014,HEALEY CARE LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,595.00"
Rochdale,28/05/2014,HEALEY CARE LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,£725.00
Rochdale,28/05/2014,HEALEY CARE LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£2,175.00"
