Property Address,RATEPAYER,RV,LIABILITY_START
"79 Catherine Street, Elland, HX5 0JB",,2300,01/07/2015
"261 King Cross Road, Halifax, HX1 3JL",,7500,02/01/2016
"10 Bull Green, Halifax, HX1 5AB",,7300,04/01/2016
"Unit 2, Royd Mills Business Park, Dyehouse Lane, Brighouse            HD6 1LL",Smart Display & Exhibitions Ltd,12000,01/12/2015
"Unit 54 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",,2100,01/12/2015
"Unit 2/4a, Bull Fold Garage, Owler Ings Road, Brighouse           HD6 1EJ",Blackshaw Holdings Ltd,12250,19/01/2016
"Unit 2 Culver Works, Hopwood Lane, Halifax, HX1 5EZ",,6500,11/07/2015
"Unit 3 Culver Works, Hopwood Lane, Halifax, HX1 5EZ",,4600,11/07/2015
"Croftmyl, Gf Office A5, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,3600,01/09/2015
"Croftmyl, Gf Office A3, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,3250,01/09/2015
"Croftmyl, Gf Office A8, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,3900,01/09/2015
"Swales Moor Yard, Swales Moor Road, Halifax, HX3 6UF",Blackshaw Landfill Ltd,18000,04/01/2016
"Unit 1/1A, 30 Huddersfield Road, Brighouse, HD6 1HA",Bikers Legal Defence Ltd (In Administration),51500,10/09/2015
"Part First Floor, Unit H6 Premier Way, Lowfields Business Park, Elland               HX5 9HF",Hsl Compliance Ltd,30000,19/11/2015
"Moorlands Inn, Keighley Road, Ogden, Halifax             HX2 8XD",Hire Class Events Ltd,105000,05/01/2016
"11 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",,1950,09/02/2016
"1 Shroggs Road, Halifax, HX1 5HZ",Paloma Capital,88500,29/01/2016
"Unit 14 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",Millcraft Associates,750,01/02/2015
"Unit 7, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EA",A & B Installations Ltd,2800,11/02/2016
"Unit 8, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EA",A & B Installations Ltd,18750,11/02/2016
"Unit 10/10A Brunswick Works, Brassey Street, Halifax, HX1 2EA",F & S Tube Manipulation Ltd,7200,30/01/2016
"Laverlock Hall Farm, Soil Hill, Halifax, HX2 9NT",,700,10/08/2015
"Unit 15, Brunswick Industrial Estate, Brassey Street, Halifax             HX1 2EL",Radiator Renovator Ltd,10000,09/01/2016
"Unit 5G Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,2100,10/07/2015
