Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29551,36696,Procurement Officer,5,Procurement
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23661,29383,Procurement Officer,7,Procurement
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18554,22345,Procurement Support Officer,2,Procurement
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Business Management and Improvement,2,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Case Assessment,1,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Customer Services,1,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Business Risk Management,1,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Case Assessment,15,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29551,36696,Business Management and Improvement,7,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29551,36696,Civilian Trainers (Civ Trainer),1,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29551,36696,Business Risk Management,3,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29551,36696,Customer Services,2,Operational Delivery
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29551,36696,Case Assessment,140,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23661,29383,Case Assessment,25,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23661,29383,Business Management and Improvement,1,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23661,29383,Customer Services,1,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18554,22345,Administrative Support,1,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18554,22345,Business Management and Improvement,4,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18554,22345,Security Management,1,Other
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18554,22345,Case Assessment,79,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18554,22345,Secretarial,1,Planning
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18554,22345,Customer Services,1,Operational Delivery
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18554,22345,Decision Support,1,Finance
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E2,15779,19003,Administrative Support,1,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E2,15779,19003,Business Management and Improvement,1,Operational Delivery
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E2,15779,19003,Case Assessment,7,Operational Research
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,Retained - Civilian Consultant,61859,80186,Medical,0,Procurement
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B1,57000,72907,Programme Management,1,Information Technology
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B1,57000,72907,Knowledge & Information Management Manager,1,Knowledge and Information Management (KIM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B1,57000,72907,Programme Management,1,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Business Manager,1,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Programme Manager,2,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Project Management,1,Information Technology
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B1,57000,72907,Information Technology,1,Information Technology
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Information Technology,3,Information Technology
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Customer Services,1,Information Technology
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Transaction Processing,1,Information Technology
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B1,57000,72907,Business Manager,1,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Knowledge & Information Management Manager,5,Knowledge and Information Management (KIM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Project Management,1,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Business Manager,1,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Project Manager,8,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Information Exploitation Mgt,1,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Programme Manager,4,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Historical,1,Knowledge and Information Management (KIM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Computer Science & Engineering,1,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Customer Services,1,Information Technology
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Reporting and Controls,1,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Project Manager,7,Information Technology
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Information Technology,3,Knowledge and Information Management (KIM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Knowledge Info Management,1,Information Technology
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Knowledge & Information Management Manager,6,Knowledge and Information Management (KIM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Decision Support,1,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29551,36696,Customer Services,1,Information Technology
